plant_name,count
ナンテンカズラ,3
オガタマノキ,2
クロボウモドキ,2
テングノハナ,2
ハスノハギリ,2
スナヅル,2
クスノキ,2
ニッケイ,2
マルバニッケイ,2
ヤブニッケイ,2
オキナワコウバシ,2
カゴノキ,2
カナクギノキ,2
クロモジ,2
テンダイウヤク,2
コブガシ,2
ショウブ,2
シロダモ,2
タブノキ,2
アマミテンナンショウ,2
イナヒロハテンナンショウ,2
オドリコテンナンショウ,2
シコクヒロハテンナンショウ,2
タカハシテンナンショウ,2
ハリママムシグサ,2
ヒトヨシテンナンショウ,2
ヒメウラシマソウ,2
マイヅルテンナンショウ,2
マムシグサ,2
ムサシアブミ,2
ユモトマムシグサ,2
アマギテンナンショウ,2
ウメガシマテンナンショウ,2
エヒメテンナンショウ,2
オモゴウテンナンショウ,2
コウライテンナンショウ,2
セッピコテンナンショウ,2
トクノシマテンナンショウ,2
ヒトツバテンナンショウ,2
ホソバテンナンショウ,2
ホロテンナンショウ,2
ヤマグチテンナンショウ,2
ヤマジノテンナンショウ,2
ユキモチソウ,2
ハブカズラ,2
ヒメウキクサ,2
ヒンジモ,2
ウキクサ,2
サキシマハブカズラ,2
ザゼンソウ,2
ナベクラザゼンソウ,2
ヒメザゼンソウ,2
ヒメハブカズラ,2
ミジンコウキクサ,2
ユズノハカズラ,2
イワショウブ,2
チシマゼキショウ,2
ヒメイワショウブ,2
ヤシュウハナゼキショウ,2
ウリカワ,2
サジオモダカ,2
トウゴクヘラオモダカ,2
ヘラオモダカ,2
アギナシ,2
オモダカ,2
スブタ,2
ウミショウブ,2
ウミヒルモ,2
トチカガミ,2
イバラモ,2
セキショウモ,2
ホロムイソウ,2
ミズオオバコ,2
ムサシモ,2
エビアマモ,2
スガモ,2
アマモ,2
コアマモ,2
ガシャモク,2
ヒロハノエビモ,2
ヤナギモ,2
カワツルモ,2
ネジリカワツルモ,2
リュウノヒゲモ,2
ウミジグサ,2
リュウキュウアマモ,2
タヌキノショクダイ,2
キリシマシャクジョウ,2
シロシャクジョウ,2
ヒナノシャクジョウ,2
ルリシャクジョウ,2
イシガキソウ,2
イズドコロ,2
ウエマツソウ,2
オニドコロ,2
カエデドコロ,2
タカクマソウ,2
アダン,2
チャボシライトソウ,2
ツルアダン,2
ヒメツルアダン,2
リシリソウ,2
エンレイソウ,2
オオバナノエンレイソウ,2
キヌガサソウ,2
コバイケイソウ,2
ツクバネソウ,2
ミヤマエンレイソウ,2
キバナチゴユリ,2
チゴユリ,2
バイケイソウ,2
ホウチャクソウ,2
カラスキバサンキライ,2
サルマメ,2
シオデ,2
ヒメカカラ,2
ヤマカシュウ,2
ウバユリ,2
カタクリ,2
クロユリ,2
ツバメオモト,2
カイコバイモ,2
