row,record_id,insect_id,plant_name,filled_family,ylist_canonical,ylist_scientific_name,factcheck_source
13,host-B1B7-20251121002628-0018,species-4011,ミゾソバ,タデ科,ミゾソバ,Persicaria thunbergii var. thunbergii,public/assets/data-lite/ylist-lite.json
14,host-B1B7-20251121002628-0019,species-4011,イヌタデ,タデ科,イヌタデ,Persicaria longiseta,public/assets/data-lite/ylist-lite.json
31,host-B1B7-20251121002628-0038,species-4026,マコモ,イネ科,マコモ,Zizania latifolia,public/assets/data-lite/ylist-lite.json
59,host-B1B7-20251121002628-0068,species-4069,イタドリ,タデ科,イタドリ,Fallopia japonica,public/assets/data-lite/ylist-lite.json
60,host-B1B7-20251121002628-0069,species-4069,ミゾソバ,タデ科,ミゾソバ,Persicaria thunbergii var. thunbergii,public/assets/data-lite/ylist-lite.json
63,host-B1B7-20251121002628-0073,species-4084,ミゾソバ,タデ科,ミゾソバ,Persicaria thunbergii var. thunbergii,public/assets/data-lite/ylist-lite.json
76,host-B1B7-20251121002628-0089,species-4111,ヤマヤナギ,ヤナギ科,ヤマヤナギ,Salix sieboldiana var. sieboldiana,public/assets/data-lite/ylist-lite.json
77,host-B1B7-20251121002628-0090,species-4111,ヤマナラシ,ヤナギ科,ヤマナラシ,Populus tremula var. sieboldii,public/assets/data-lite/ylist-lite.json
92,host-B1B7-20251121002628-0107,species-4186,ミヤマクマヤナギ,クロウメモドキ科,ミヤマクマヤナギ,Berchemia pauciflora,public/assets/data-lite/ylist-lite.json
93,host-B1B7-20251121002628-0108,species-4186,クマヤナギ,クロウメモドキ科,クマヤナギ,Berchemia racemosa,public/assets/data-lite/ylist-lite.json
94,host-B1B7-20251121002628-0109,species-4186,クロウメモドキ,クロウメモドキ科,クロウメモドキ,Rhamnus japonica var. decipiens,public/assets/data-lite/ylist-lite.json
100,host-B1B7-20251121002628-0116,species-4168,アカザ,ヒユ科,アカザ,Chenopodium album var. centrorubrum,public/assets/data-lite/ylist-lite.json
101,host-B1B7-20251121002628-0117,species-4168,ハマアカザ,ヒユ科,ハマアカザ,Atriplex subcordata,public/assets/data-lite/ylist-lite.json
103,host-B1B7-20251121002628-0120,species-4172,ブナ,ブナ科,ブナ,Fagus crenata,public/assets/data-lite/ylist-lite.json
104,host-B1B7-20251121002628-0121,species-4172,ミズナラ,ブナ科,ミズナラ,Quercus crispula var. crispula,public/assets/data-lite/ylist-lite.json
105,host-B1B7-20251121002628-0122,species-4172,カシワ,ブナ科,カシワ,Quercus dentata,public/assets/data-lite/ylist-lite.json
106,host-B1B7-20251121002628-0123,species-4172,コナラ,ブナ科,コナラ,Quercus serrata,public/assets/data-lite/ylist-lite.json
107,host-B1B7-20251121002628-0124,species-4172,クヌギ,ブナ科,クヌギ,Quercus acutissima,public/assets/data-lite/ylist-lite.json
108,host-B1B7-20251121002628-0125,species-4172,アラカシ,ブナ科,アラカシ,Quercus glauca,public/assets/data-lite/ylist-lite.json
109,host-B1B7-20251121002628-0126,species-4181,ガンコウラン,ツツジ科,ガンコウラン,Empetrum nigrum var. japonicum,public/assets/data-lite/ylist-lite.json
110,host-B1B7-20251121002628-0127,species-4181,キバナシャクナゲ,ツツジ科,キバナシャクナゲ,Rhododendron aureum,public/assets/data-lite/ylist-lite.json
111,host-B1B7-20251121002628-0128,species-4181,クロマメノキ,ツツジ科,クロマメノキ,Vaccinium uliginosum var. japonicum,public/assets/data-lite/ylist-lite.json
112,host-B1B7-20251121002628-0129,species-4181,コケモモ,ツツジ科,コケモモ,Vaccinium vitis-idaea,public/assets/data-lite/ylist-lite.json
117,host-B1B7-20251121002628-0138,species-4184,ケショウヤナギ,ヤナギ科,ケショウヤナギ,Salix arbutifolia,public/assets/data-lite/ylist-lite.json
118,host-B1B7-20251121002628-0139,species-4184,カワヤナギ,ヤナギ科,カワヤナギ,Salix miyabeana subsp. gymnolepis,public/assets/data-lite/ylist-lite.json
119,host-B1B7-20251121002628-0140,species-4184,オノエヤナギ,ヤナギ科,オノエヤナギ,Salix udensis,public/assets/data-lite/ylist-lite.json
126,host-B1B7-20251121002628-0147,species-4284,クヌギ,ブナ科,クヌギ,Quercus acutissima,public/assets/data-lite/ylist-lite.json
127,host-B1B7-20251121002628-0148,species-4284,ミズナラ,ブナ科,ミズナラ,Quercus crispula var. crispula,public/assets/data-lite/ylist-lite.json
128,host-B1B7-20251121002628-0149,species-4284,カシワ,ブナ科,カシワ,Quercus dentata,public/assets/data-lite/ylist-lite.json
129,host-B1B7-20251121002628-0150,species-4284,コナラ,ブナ科,コナラ,Quercus serrata,public/assets/data-lite/ylist-lite.json
136,host-B1B7-20251121002628-0159,species-4309,オニグルミ,クルミ科,オニグルミ,Juglans mandshurica var. sachalinensis,public/assets/data-lite/ylist-lite.json
141,host-B1B7-20251121002628-0178,species-4319,ウツギ,アジサイ科,ウツギ,Deutzia crenata,public/assets/data-lite/ylist-lite.json
142,host-B1B7-20251121002628-0179,species-4319,ウラジロウツギ,アジサイ科,ウラジロウツギ,Deutzia maximovicziana,public/assets/data-lite/ylist-lite.json
143,host-B1B7-20251121002628-0182,species-4328,ヨメナ,キク科,ヨメナ,Aster yomena,public/assets/data-lite/ylist-lite.json
144,host-B1B7-20251121002628-0183,species-4328,シロヨメナ,キク科,シロヨメナ,Aster ageratoides var. ageratoides,public/assets/data-lite/ylist-lite.json
146,host-B1B7-20251121002628-0185,species-4329,ヨモギ,キク科,ヨモギ,Artemisia indica var. maximowiczii,public/assets/data-lite/ylist-lite.json
147,host-B1B7-20251121002628-0186,species-4329,シオン,キク科,シオン,Aster tataricus,public/assets/data-lite/ylist-lite.json
