record_id,insect_id,note_type,content,reference,page,year
note-000520,species-,生態情報,食葉性。,神奈川虫報 (156): 日本産ハムシ科生態覚書 (1),,
note-000521,species-,出現時期,3-6月,神奈川虫報 (156): 日本産ハムシ科生態覚書 (1),,
note-000522,species-,生態情報,食葉性。,葉上に産卵、幼虫は食葉性;地中の白い繭で蛹化。,,
note-000523,species-,出現時期,4-7月,葉上に産卵、幼虫は食葉性;地中の白い繭で蛹化。,,
note-000524,species-,生態情報,食葉性。,葉上に産卵;幼虫は集団をなし、食葉性;地中の白い繭で蛹化。,,
note-000525,species-,出現時期,4-9月,葉上に産卵;幼虫は集団をなし、食葉性;地中の白い繭で蛹化。,,
note-000526,species-,生態情報,食葉性。,神奈川虫報 (156): 日本産ハムシ科生態覚書 (1),,
note-000527,species-,出現時期,5-7月,神奈川虫報 (156): 日本産ハムシ科生態覚書 (1),,
note-000528,species-,生態情報,食葉性。,葉上に産卵、幼虫は食葉性;地中の白い繭で蛹化。,,
note-000529,species-,出現時期,5-10月,葉上に産卵、幼虫は食葉性;地中の白い繭で蛹化。,,
note-000530,species-,生態情報,食葉性。,神奈川虫報 (156): 日本産ハムシ科生態覚書 (1),,
note-000531,species-,出現時期,5-8月,神奈川虫報 (156): 日本産ハムシ科生態覚書 (1),,
note-000532,species-,生態情報,食葉性。,葉上に産卵;幼虫は食葉性;地中の白い繭で蛹化。,,
note-000533,species-,出現時期,4-11月,葉上に産卵;幼虫は食葉性;地中の白い繭で蛹化。,,
note-000534,species-,出現時期,5-9月,神奈川虫報 (156): 日本産ハムシ科生態覚書 (1),,
note-000535,species-,生態情報,食葉性。,葉上に産卵;幼虫は食葉性;葉上あるいは地表の白い繭で蛹化。,,
note-000536,species-,出現時期,4-9月,葉上に産卵;幼虫は食葉性;葉上あるいは地表の白い繭で蛹化。,,
note-000537,species-,生態情報,大陸ではエノコログサを食う。,ハムシハンドブック,,
note-000538,species-,生態情報,食葉性。,神奈川虫報 (157): 日本産ハムシ科生態覚書 (2),,
note-000539,species-,出現時期,5-8月,神奈川虫報 (157): 日本産ハムシ科生態覚書 (2),,
note-000540,species-,出現時期,5-6月,神奈川虫報 (157): 日本産ハムシ科生態覚書 (2),,
