record_id,insect_id,original_observation_type,retained_observation_type,original_notes,retained_notes,removed_segments
hostplant-000233,species-0270,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-000234,species-0270,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-002793,species-4828,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-002794,species-4828,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-003478,species-5593,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-003483,species-5595,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-003616,species-5692,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-003835,species-5816,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-004210,species-6062,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-004211,species-6062,野外（国内）,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-004212,species-6062,野外（国内）,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-004213,species-6062,野外（国内）,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-004214,species-6062,野外（国内）,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-004274,species-6108,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-zukan2-ocr-audit-20260705-0004,species-20710,国外,国外,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-zukan2-ocr-audit-20260705-0005,species-20710,国外,国外,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-zukan2-ocr-audit-20260705-0006,species-20710,国外,国外,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-zukan2-ocr-audit-20260705-0007,species-20710,国外,国外,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-zukan2-ocr-audit-20260705-0008,species-20710,国外,国外,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-zukan2-ocr-audit-20260705-0009,species-20710,国外,国外,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-zukan2-ocr-audit-20260705-0010,species-20710,国外,国外,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-zukan2-ocr-audit-20260705-0011,species-20710,国外,国外,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-004275,species-6108,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-004276,species-6108,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-004429,species-0053,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-004430,species-0053,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-004431,species-0053,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-091008,species-6108,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-091010,species-6060,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-091011,species-6060,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-091012,species-6060,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-091013,species-6060,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-091014,species-6060,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-091015,species-6060,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-091016,species-6060,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-091017,species-6060,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-091018,species-6060,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-091019,species-6060,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-900047,species-2091,野外（国外）,野外（国外）,海外記録（我が国では未知）,,海外記録（我が国では未知） / 海外記録（我が国では未知）
hostplant-900048,species-2091,野外（国外）,野外（国外）,海外記録（我が国では未知）,,海外記録（我が国では未知） / 海外記録（我が国では未知）
hostplant-900049,species-2091,野外（国外）,野外（国外）,海外記録（我が国では未知）,,海外記録（我が国では未知） / 海外記録（我が国では未知）
hostplant-900050,species-2091,野外（国外）,野外（国外）,海外記録（我が国では未知）,,海外記録（我が国では未知） / 海外記録（我が国では未知）
hostplant-900051,species-2091,野外（国外）,野外（国外）,海外記録（我が国では未知）,,海外記録（我が国では未知） / 海外記録（我が国では未知）
hostplant-900077,species-1882,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-900078,species-1882,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-900079,species-1882,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-900080,species-1882,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-900081,species-1883,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-900082,species-1883,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-900083,species-1883,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-900086,species-2074,野外（国外）,野外（国外）,国外記録,,国外記録 / 国外記録
hostplant-900087,species-2074,野外（国外）,野外（国外）,国外記録,,国外記録 / 国外記録
hostplant-900088,species-2076,野外（国外）,野外（国外）,国外記録,,国外記録 / 国外記録
hostplant-900089,species-2076,野外（国外）,野外（国外）,国外記録,,国外記録 / 国外記録
hostplant-900090,species-2078,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-900091,species-2087,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-900092,species-2087,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-900093,species-2087,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-900094,species-2087,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-900095,species-2090,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-900097,species-2092,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-900098,species-2092,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-900099,species-2092,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-900100,species-2092,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-900102,species-2070,野外（国外）,野外（国外）,海外記録,,海外記録 / 海外記録
hostplant-900103,species-2079,野外（国外）,野外（国外）,ヨーロッパ記録,,ヨーロッパ記録 / ヨーロッパ記録
hostplant-900356,species-H119,国外,国外,中国,,中国 / 中国
hostplant-902093,species-1633,野外（国外）,野外（国外）,中国で記録,,中国で記録 / 中国で記録
hostplant-902094,species-1633,野外（国外）,野外（国外）,中国で記録,,中国で記録 / 中国で記録
hostplant-902095,species-1633,野外（国外）,野外（国外）,中国で記録,,中国で記録 / 中国で記録
hostplant-902100,species-1505,野外（国外）,野外（国外）,中国で記録、日本では未確認,,中国で記録、日本では未確認 / 中国で記録、日本では未確認
hostplant-902167,species-1536,野外（国外）,野外（国外）,中国で記録,,中国で記録 / 中国で記録
hostplant-902168,species-1536,野外（国外）,野外（国外）,中国で記録,,中国で記録 / 中国で記録
hostplant-902169,species-1536,野外（国外）,野外（国外）,中国で記録,,中国で記録 / 中国で記録
hostplant-908261,species-0212,文献,文献,ヨーロッパでの記録,,ヨーロッパでの記録 / ヨーロッパでの記録
hostplant-912799,species-0992,国外,国外,ヨーロッパ / 国内では不明,,ヨーロッパ / 国内では不明 / ヨーロッパ / 国内では不明
hostplant-912943,species-1308,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-912944,species-1308,国外,国外,ヨーロッパ,,ヨーロッパ / ヨーロッパ
hostplant-913078,species-1444,国外,国外,日本での幼生期は不明,,日本での幼生期は不明 / 日本での幼生期は不明
