file,row,insect_id,family,family_jp,genus,species,japanese_name,author,year
normalized_data/insects.csv,6316,species-20171,アゲハチョウ科,アゲハチョウ科,Parnassius,hoenei,ヒメウスパアゲハ,,
normalized_data/insects.csv,6333,species-20188,アゲハチョウ科,アゲハチョウ科,Papilio,okinawensis,オキナワカラスアゲハ,,
normalized_data/insects.csv,6358,species-20213,シロチョウ科,シロチョウ科,Gonepteryx,rhamni,ヤマキチョウ,,
normalized_data/insects.csv,6369,species-20224,シジミチョウ科,シジミチョウ科,Panchala,ganesa,ルーミスシジミ,,
normalized_data/insects.csv,6370,species-20225,シジミチョウ科,シジミチョウ科,Narathura,japonica,ムラサキシジミ,,
normalized_data/insects.csv,6371,species-20226,シジミチョウ科,シジミチョウ科,Narathura,bazalus,ムラサキツバメ,,
normalized_data/insects.csv,6396,species-20251,シジミチョウ科,シジミチョウ科,Chrysozephyrus,ataxus,キリシマミドリシジミ,,
normalized_data/insects.csv,6437,species-20292,シジミチョウ科,シジミチョウ科,Lycaeides,subsolana,アサマシジミ,,
normalized_data/insects.csv,6438,species-20293,シジミチョウ科,シジミチョウ科,Lycaeides,argyrognomon,ミヤマシジミ,,
normalized_data/insects.csv,6440,species-20295,シジミチョウ科,シジミチョウ科,Vacciniina,optilete,カラフトルリシジミ,,
normalized_data/insects.csv,6443,species-20298,シジミチョウ科,シジミチョウ科,Maculinea,arionides,オオゴマシジミ,,
normalized_data/insects.csv,6444,species-20299,シジミチョウ科,シジミチョウ科,Maculinea,teleius,ゴマシジミ,,
normalized_data/insects.csv,6456,species-20311,タテハチョウ科,タテハチョウ科,Nymphalis,l-album,エルタテハ,,
normalized_data/insects.csv,6471,species-20326,タテハチョウ科,タテハチョウ科,Brenthis,hecate,ホソバヒョウモン,,
normalized_data/insects.csv,6473,species-20328,タテハチョウ科,タテハチョウ科,Boloria,pales,アサヒヒョウモン,,
normalized_data/insects.csv,6474,species-20329,タテハチョウ科,タテハチョウ科,Boloria,iphigenia,コヒョウモン,,
normalized_data/insects.csv,6485,species-20340,タテハチョウ科,タテハチョウ科,Argyreus,childreni,ウラベニヒョウモン,,
normalized_data/insects.csv,6504,species-20359,タテハチョウ科,タテハチョウ科,Erebia,niphonica,ベニヒカゲ,,
normalized_data/insects.csv,6509,species-20364,タテハチョウ科,タテハチョウ科,Coenonympha,amaryllis,シロオビヒメヒカゲ,,
normalized_data/insects.csv,6513,species-20368,タテハチョウ科,タテハチョウ科,Ypthima,esakii,ヤエヤマウラナミジャノメ,,
normalized_data/insects.csv,6519,species-20374,タテハチョウ科,タテハチョウ科,Lasiommata,epimenides,ツマジロウラジャノメ,,
normalized_data/insects.csv,6520,species-20375,タテハチョウ科,タテハチョウ科,Kirinia,epaminondas,キマダラモドキ,,
normalized_data/insects.csv,6528,species-20383,タテハチョウ科,タテハチョウ科,Lethe,kansa,クロヒカゲモドキ,,
normalized_data/insects.csv,6536,species-20391,タテハチョウ科,タテハチョウ科,Parantica,melaneus,タイワンアサギマダラ,,
normalized_data/insects.csv,6538,species-20393,タテハチョウ科,タテハチョウ科,Anosia,chrysippus,カバマダラ,,
normalized_data/insects.csv,6539,species-20394,タテハチョウ科,タテハチョウ科,Salatura,genutia,スジグロカバマダラ,,
normalized_data/insects.csv,6544,species-20399,タテハチョウ科,タテハチョウ科,Euploea,leucostictos,シロオビマダラ,,
normalized_data/insects.csv,6547,species-20402,セセリチョウ科,セセリチョウ科,Ismene,compunis,タイワンアオバセセリ,,
normalized_data/insects.csv,6548,species-20403,セセリチョウ科,セセリチョウ科,Hasora,anura,オキナワビロウドセセリ,,
normalized_data/insects.csv,6550,species-20405,セセリチョウ科,セセリチョウ科,Bibasis,aquilina,キバネセセリ,,
normalized_data/insects.csv,6551,species-20406,セセリチョウ科,セセリチョウ科,Tagiades,cohaerens,コウトウシロシタセセリ,,
normalized_data/insects.csv,6555,species-20410,セセリチョウ科,セセリチョウ科,Erynnis,montanus,ミヤマセセリ,,
normalized_data/insects.csv,6562,species-20417,セセリチョウ科,セセリチョウ科,Hesperia,comma,カラフトセセリ,,
