insect_id,japanese_name,scientific_name,hostplant_count,general_note_count,notes
"species-21839","ハチジョウトゲウスバカミキリ","Megopis formosana hachijoana Fujita, 1980","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21840","アマミトゲウスバカミキリ 基亜種","Megopis formosana kawazoei Hayashi, 1961","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21846","タイワンニセクワガタカミキリ","Parandra (Parandra) formosana Miwa & Mitono, 1939","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21847","ムネスジウスバカミキリ 八重山亜種","Nortia carinicollis hanatanii Fujita, 2018","2","0","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21849","ムネスジウスバカミキリ 奄美沖縄亜種","Nortia carinicollis pruinicollis Gressitt, 1965","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21850","サツマムネスジウスバカミキリ","Nortia geniculata satsumana Niisato & N. Ohbayashi, 2005","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21851","オガサワラムネスジウスバカミキリ","Nortia kusuii Kusama & Nara, 1973","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21854","シロヘリトラカミキリ","Anaglyptus (Aglaophis) colobotheoides (Bates, 1884)","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21855","アラカワシロヘリトラカミキリ 基亜種","Anaglyptus (Anaglyptus) arakawae arakawae (Kano, 1933)","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21858","マツシタトラカミキリ","Anaglyptus (Anaglyptus) matsushitai Hayashi, 1955","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21860","スギノアカネトラカミキリ","Anaglyptus (Anaglyptus) subfasciatus Pic, 1906","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21861","サツマスギノアカネトラカミキリ 基亜種","Anaglyptus (Anaglyptus) yakushimanus yakushimanus Hayashi, 1968","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21863","ケブカトラカミキリ","Hirticlytus comosus (Matsushita, 1941)","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21865","エゾトラカミキリ 基亜種","Oligoenoplus rosti rosti (Pic, 1911)","1","0","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21868","シロトラカミキリ","Paraclytus excultus Bates, 1884","3","0","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21870","ジャコウカミキリ","Aromia moschata orientalis Plavilstshikov, 1933","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21872","ヤクシマミドリカミキリ 基亜種","Chloridolum (Chloridolum) kurosawae kurosawae Hayashi, 1956","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21876","オオアオカミキリ","Chloridolum (Chloridolum) thaliodes Bates, 1884","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21877","ミドリカミキリ","Chloridolum (Leontium) viride (Thomson, 1864)","1","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21880","アオカミキリ 基亜種","Schwarzerium quadricollis quadricollis (Bates, 1884)","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21883","ルリヒラタカミキリ","Callidium (Callidium) violaceum (Linnaeus, 1758)","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21887","ミドリヒメスギカミキリ","Callidium (Paraeocallidium) kuratai (Yokoyama, 1972)","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21890","チャイロチビヒラタカミキリ 北海道亜種","Phymatodes (Phymatodellus) infasciatus vandykei Gressitt, 1935","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21891","チャイロホソヒラタカミキリ","Phymatodes (Phymatodes) testaceus (Linnaeus, 1758)","1","0","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21892","シロオビチビヒラタカミキリ","Poecilium albicinctum (Bates, 1873)","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21894","アカネカミキリ","Poecilium maaki viarius (Danilevsky, 1988)","1","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21898","クロヒラタカミキリ","Ropalopus (Prorrhopalopus) signaticollis ohmomoi Fujita, 2023","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21899","ビャクシンカミキリ","Semanotus bifasciatus (Motschulsky, 1875)","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21900","スギカミキリ 基亜種","Semanotus japonicus japonicus (Lacordaire, 1869)","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21904","リュウキュウヒメカミキリ 基亜種","Ceresium fuscum fuscum Matsumura & Matsushita, 1932","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21908","ヨコヤマヒメカミキリ","Ceresium holophaeum Bates, 1873","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21910","ヒゲナガヒメカミキリ","Ceresium longicorne Pic, 1926","3","0","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21912","クロモンヒメカミキリ","Ceresium signaticolle Matsumura & Matsushita, 1932","1","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21913","チャイロヒメカミキリ 基亜種","Ceresium simile simile Gahan, 1890","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21916","テツイロヒメカミキリ","Ceresium sinicum A. White, 1855","4","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21917","フトガタヒメカミキリ 基亜種","Ceresium unicolor unicolor (Fabricius, 1787)","2","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21920","コジマクロオビヒメカミキリ","Parasalpinia kojimai Hayashi, 1962","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21921","アメイロカミキリ 基亜種","Stenodryas clavigera clavigera Bates, 1873","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21923","ヨツボシカミキリ","Stenygrinum quadrinotatum Bates, 1873","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21930","キマダラヒメミヤマカミキリ","Dymasius (Elydnus) hirayamai Matsushita, 1941","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21931","キイロミヤマカミキリ","Margites (Margites) fulvidus (Pascoe, 1858)","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-21932","ニッポンムネヒダミヤマカミキリ","Nadezhdiella japonica Hayashi, 1972","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
