kind,insect_id,normalized_japanese_name,public_japanese_name,normalized_scientific_name,public_scientific_name
"mismatch","species-0042","ミズヒキモグリチビガ","ミズヒキモグリチビガ","Enteucha sp. of Owada et al. 2006","Enteucha sp. of Owada et al. 2006"
"mismatch","species-0101","ツマテンオビモグリチビガ","ツマテンオビモグリチビガ","Fomoria sp. of Oku, 2003","Fomoria sp. of Oku, 2003"
"mismatch","species-0106","ムラサキシキブモグリチビガ","ムラサキシキブモグリチビガ","Acalyptris sp. of Owada et al., 2006","Acalyptris sp. of Owada et al., 2006"
"mismatch","species-0121","クサイチゴモグリチビガ","クサイチゴモグリチビガ","Ectoedemia sp. 1 of Owada et al., 2006","Ectoedemia sp. 1 of Owada et al., 2006"
"mismatch","species-0122","サクラモグリチビガ","サクラモグリチビガ","Ectoedemia sp. 2 of Owada et al., 2006","Ectoedemia sp. 2 of Owada et al., 2006"
"mismatch","species-0123","クヌギゴマフモグリチビガ","クヌギゴマフモグリチビガ","Ectoedemia sp. 3 of Owada et al., 2006","Ectoedemia sp. 3 of Owada et al., 2006"
"mismatch","species-0128","マエグロヒラタモグリガ","マエグロヒラタモグリガ","Opostegoides sp. of Oku, 2003","Opostegoides sp. of Oku, 2003"
"mismatch","species-0131","ハイイロヒラタモグリガ","ハイイロヒラタモグリガ","Pseudopostega sp. of Hirowatari, 2013","Pseudopostega sp. of Hirowatari, 2013"
"mismatch","species-0153","オオカメノキツヤコガ","オオカメノキツヤコガ","Antispila sp. of Oku, 2003","Antispila sp. of Oku, 2003"
"mismatch","species-0194","シロテンオオマガリガ","シロテンオオマガリガ","Lampronia sp. 1 of Oku, 2003","Lampronia sp. 1 of Oku, 2003"
"mismatch","species-0195","オビマガリガ","オビマガリガ","Lampronia sp. 2 of Oku, 2003","Lampronia sp. 2 of Oku, 2003"
"mismatch","species-0216","ウスキハモグリガ","ウスキハモグリガ","Tischeria sp. 1 of Oku, 2003","Tischeria sp. 1 of Oku, 2003"
"mismatch","species-0284","ミナミウスグロスカシモンヒロズコガ","ミナミウスグロスカシモンヒロズコガ","Crypsithyris sp. of Nasu et al., 2020","Crypsithyris sp. of Nasu et al., 2020"
"mismatch","species-0287","ヤエヤマクロテンヒロズコガ","ヤエヤマクロテンヒロズコガ","Ceratophaga sp. of Nasu et al., 2019","Ceratophaga sp. of Nasu et al., 2019"
"mismatch","species-0309","ヒモミノガ","ヒモミノガ","Gen. sp. of Saigusa, 1962","Gen. sp. of Saigusa, 1962"
"mismatch","species-0310","キノコヒモミノガ","キノコヒモミノガ","Gen. sp. of Nakamura, 1977","Gen. sp. of Nakamura, 1977"
"mismatch","species-0312","オオヒロズミノガ","オオヒロズミノガ","Ceratosticha sp. of Saigusa, 2013","Ceratosticha sp. of Saigusa, 2013"
"mismatch","species-0344","ドイミノガ","ドイミノガ","Gen. sp. of Doi, 2005","Gen. sp. of Doi, 2005"
"mismatch","species-0374","ナツハゼホシボシホソガ","ナツハゼホシボシホソガ","Parornix sp. of Nobuoka et al., 2012","Parornix sp. of Nobuoka et al., 2012"
"mismatch","species-0391","シロオビハマキホソガ","シロオビハマキホソガ","Caloptilia sp. 1 of Oku, 2003","Caloptilia sp. 1 of Oku, 2003"
"mismatch","species-0407","マンサクハマキホソガ","マンサクハマキホソガ","Caloptilia sp. 4 of Oku, 2003","Caloptilia sp. 4 of Oku, 2003"
"mismatch","species-0433","クロモジハマキホソガ","クロモジハマキホソガ","Caloptilia sp. 5 of Oku, 2003","Caloptilia sp. 5 of Oku, 2003"
