file,row,record_id,plant_name,before,after,canonical
public/hostplants.csv,39,hostplant-000033,キリ,ゴマノハグサ科,キリ科,キリ
public/hostplants.csv,42,hostplant-000036,キリ,ゴマノハグサ科,キリ科,キリ
public/hostplants.csv,51,hostplant-000045,イロハモミジ,カエデ科,ムクロジ科,イロハモミジ
public/hostplants.csv,68,hostplant-000062,クロツバラ,バラ科,クロウメモドキ科,クロツバラ
public/hostplants.csv,152,hostplant-000146,サカキ,サカキ科,モッコク科,サカキ
public/hostplants.csv,154,hostplant-000148,ネズミムギ,,イネ科,ネズミムギ
public/hostplants.csv,156,hostplant-000150,ヤマヤナギ,,ヤナギ科,ヤマヤナギ
public/hostplants.csv,157,hostplant-000151,マルバヤナギ,,ヤナギ科,マルバヤナギ
public/hostplants.csv,160,hostplant-000154,オトコエシ,オミナエシ科,スイカズラ科,オトコエシ
public/hostplants.csv,161,hostplant-000155,オトコエシ,オミナエシ科,スイカズラ科,オトコエシ
public/hostplants.csv,166,hostplant-000160,ガマズミ,,ガマズミ科,ガマズミ
public/hostplants.csv,167,hostplant-000161,オオカメノキ,スイカズラ科,ガマズミ科,オオカメノキ
public/hostplants.csv,168,hostplant-000162,オオカメノキ,スイカズラ科,ガマズミ科,オオカメノキ
public/hostplants.csv,169,hostplant-000163,コバノミツバツツジ,,ツツジ科,コバノミツバツツジ
public/hostplants.csv,196,hostplant-000190,テリハノイバラ,,バラ科,テリハノイバラ
public/hostplants.csv,198,hostplant-000192,ニガイチゴ,,バラ科,ニガイチゴ
public/hostplants.csv,200,hostplant-000194,ナガバモミジイチゴ,,バラ科,ナガバモミジイチゴ
public/hostplants.csv,201,hostplant-000195,バライチゴ,,バラ科,バライチゴ
public/hostplants.csv,204,hostplant-000198,ヒサカキ,,モッコク科,ヒサカキ
public/hostplants.csv,205,hostplant-000199,ハマヒサカキ,ツバキ科,モッコク科,ハマヒサカキ
public/hostplants.csv,270,hostplant-000266,ヒメコラノキ,,アオイ科,ヒメコラノキ
public/hostplants.csv,278,hostplant-000274,アラビアゴムモドキ,,マメ科,アラビアアカシア
public/hostplants.csv,283,hostplant-000279,シロゴチョウ,,マメ科,シロゴチョウ
public/hostplants.csv,284,hostplant-000280,キダチデンセイ,,マメ科,キダチデンセイ
public/hostplants.csv,285,hostplant-000281,シナノキ,,アオイ科,シナノキ
public/hostplants.csv,315,hostplant-000312,シマイズセンリョウ,ヤブコウジ科,サクラソウ科,シマイズセンリョウ
public/hostplants.csv,321,hostplant-000318,エノキ,ニレ科,アサ科,エノキ
public/hostplants.csv,337,hostplant-000335,ヒメリンゴ,,バラ科,イヌリンゴ
public/hostplants.csv,353,hostplant-000351,マサキ,,ニシキギ科,マサキ
public/hostplants.csv,359,hostplant-000357,マサキ,,ニシキギ科,マサキ
public/hostplants.csv,361,hostplant-000359,ベンケイソウ,,ベンケイソウ科,ベンケイソウ
public/hostplants.csv,362,hostplant-000360,オオベンケイソウ,,ベンケイソウ科,オオベンケイソウ
public/hostplants.csv,390,hostplant-000388,モチツツジ,,ツツジ科,モチツツジ
public/hostplants.csv,398,hostplant-000396,スギ,スギ科,ヒノキ科,スギ
public/hostplants.csv,404,hostplant-000402,ミヤマガマズミ,,ガマズミ科,ミヤマガマズミ
public/hostplants.csv,405,hostplant-000403,オオカメノキ,スイカズラ科,ガマズミ科,オオカメノキ
public/hostplants.csv,406,hostplant-000404,サンゴジュ,スイカズラ科,ガマズミ科,サンゴジュ
public/hostplants.csv,407,hostplant-000405,ガマズミ,スイカズラ科,ガマズミ科,ガマズミ
public/hostplants.csv,418,hostplant-000416,タチドコロ,,ヤマノイモ科,タチドコロ
public/hostplants.csv,430,hostplant-000428,ベニバナノツクバネウツギ,,スイカズラ科,ベニバナノツクバネウツギ
public/hostplants.csv,431,hostplant-000429,ウゴツクバネウツギ,,スイカズラ科,ウゴツクバネウツギ
public/hostplants.csv,439,hostplant-000437,ヒロハノツリバナ,,ニシキギ科,ヒロハノツリバナ
public/hostplants.csv,440,hostplant-000438,ムラサキマユミ,,ニシキギ科,ムラサキマユミ
public/hostplants.csv,441,hostplant-000439,サワダツ,,ニシキギ科,サワダツ
public/hostplants.csv,446,hostplant-000444,ブロッコリー,,アブラナ科,ブロッコリー
public/hostplants.csv,449,hostplant-000447,イヌナズナ,,アブラナ科,イヌナズナ
public/hostplants.csv,452,hostplant-000450,タカナ,,アブラナ科,タカナ
public/hostplants.csv,454,hostplant-000452,ハナヤサイ,,アブラナ科,カリフラワー
public/hostplants.csv,456,hostplant-000454,ブロッコリー,,アブラナ科,ブロッコリー
public/hostplants.csv,458,hostplant-000456,セイヨウアブラナ,,アブラナ科,セイヨウアブラナ
public/hostplants.csv,605,hostplant-000603,イワヒトデ,,ウラボシ科,イワヒトデ
public/hostplants.csv,607,hostplant-000605,オニヤブソテツ,,オシダ科,オニヤブソテツ
public/hostplants.csv,639,hostplant-000646,ヤハズハンノキ,,カバノキ科,ヤハズハンノキ
public/hostplants.csv,651,hostplant-000659,ツタウルシ,,ウルシ科,ツタウルシ
public/hostplants.csv,681,hostplant-000694,ガマズミ,,ガマズミ科,ガマズミ
public/hostplants.csv,682,hostplant-000695,ハクサンボク,,ガマズミ科,ハクサンボク
public/hostplants.csv,683,hostplant-000696,サンゴジュ,,ガマズミ科,サンゴジュ
public/hostplants.csv,684,hostplant-000697,カンボク,,ガマズミ科,カンボク
public/hostplants.csv,685,hostplant-000698,ゴマギ,レンプクソウ科,ガマズミ科,ゴマキ
public/hostplants.csv,687,hostplant-000701,ガマズミ,,ガマズミ科,ガマズミ
public/hostplants.csv,688,hostplant-000702,オオカメノキ,,ガマズミ科,オオカメノキ
public/hostplants.csv,689,hostplant-000703,カンボク,,ガマズミ科,カンボク
public/hostplants.csv,690,hostplant-000704,テマリカンボク,,ガマズミ科,テマリカンボク
public/hostplants.csv,691,hostplant-000705,ゴマギ,レンプクソウ科,ガマズミ科,ゴマキ
public/hostplants.csv,693,hostplant-000708,ハクサンボク,,ガマズミ科,ハクサンボク
public/hostplants.csv,694,hostplant-000709,サンゴジュ,レンプクソウ科,ガマズミ科,サンゴジュ
public/hostplants.csv,696,hostplant-000712,ユズリハ,,ユズリハ科,ユズリハ
public/hostplants.csv,697,hostplant-000713,ウリノキ,,ミズキ科,ウリノキ
public/hostplants.csv,698,hostplant-000714,ウリノキ,,ミズキ科,ウリノキ
public/hostplants.csv,701,hostplant-000718,クロイチゴ,,バラ科,クロイチゴ
public/hostplants.csv,704,hostplant-000721,カジイチゴ,,バラ科,カジイチゴ
public/hostplants.csv,706,hostplant-000724,オオカメノキ,レンプクソウ科,ガマズミ科,オオカメノキ
public/hostplants.csv,712,hostplant-000731,カジイチゴ,,バラ科,カジイチゴ
public/hostplants.csv,730,hostplant-000754,ウワミズザクラ,,バラ科,ウワミズザクラ
public/hostplants.csv,772,hostplant-000805,ユズリハ,,ユズリハ科,ユズリハ
public/hostplants.csv,775,hostplant-000809,ガマズミ,,ガマズミ科,ガマズミ
public/hostplants.csv,776,hostplant-000810,コバノガマズミ,,ガマズミ科,コバノガマズミ
public/hostplants.csv,777,hostplant-000811,オトコヨウゾメ,レンプクソウ科,ガマズミ科,オトコヨウゾメ
public/hostplants.csv,778,hostplant-000813,サンゴジュ,,ガマズミ科,サンゴジュ
public/hostplants.csv,779,hostplant-000814,オオデマリ,レンプクソウ科,ガマズミ科,オオデマリ
public/hostplants.csv,783,hostplant-000819,ガマズミ,レンプクソウ科,ガマズミ科,ガマズミ
public/hostplants.csv,792,hostplant-000830,オオカモメヅル,,キョウチクトウ科,オオカモメヅル
public/hostplants.csv,793,hostplant-000831,コカモメヅル,,キョウチクトウ科,コカモメヅル
public/hostplants.csv,794,hostplant-000832,トキワカモメヅル,,キョウチクトウ科,トキワカモメヅル
public/hostplants.csv,811,hostplant-000850,マサキ,,ニシキギ科,マサキ
public/hostplants.csv,815,hostplant-000855,リュウキュウマユミ,,ニシキギ科,リュウキュウマユミ
public/hostplants.csv,816,hostplant-000856,ニイタカマユミ,,ニシキギ科,ニイタカマユミ
public/hostplants.csv,829,hostplant-000869,エノキ,ニレ科,アサ科,エノキ
public/hostplants.csv,845,hostplant-000885,ウワミズザクラ,,バラ科,ウワミズザクラ
public/hostplants.csv,850,hostplant-000890,ウワミズザクラ,,バラ科,ウワミズザクラ
public/hostplants.csv,851,hostplant-000891,ナナカマド,,バラ科,ナナカマド
public/hostplants.csv,853,hostplant-000893,ウワミズザクラ,,バラ科,ウワミズザクラ
public/hostplants.csv,871,hostplant-000911,ミヤマカワラハンノキ,,カバノキ科,ミヤマカワラハンノキ
public/hostplants.csv,897,hostplant-000937,ウゴツクバネウツギ,,スイカズラ科,ウゴツクバネウツギ
public/hostplants.csv,898,hostplant-000938,コツクバネウツギ,,スイカズラ科,コツクバネウツギ
public/hostplants.csv,920,hostplant-000960,タチヤナギ,,ヤナギ科,タチヤナギ
public/hostplants.csv,948,hostplant-000988,モモ,ニシキギ科,バラ科,モモ
public/hostplants.csv,961,hostplant-001002,タムシバ,,モクレン科,タムシバ
public/hostplants.csv,962,hostplant-001003,ガマズミ,,ガマズミ科,ガマズミ
public/hostplants.csv,963,hostplant-001004,オオカメノキ,,ガマズミ科,オオカメノキ
public/hostplants.csv,1009,hostplant-001050,マサキ,,ニシキギ科,マサキ
public/hostplants.csv,1017,hostplant-001058,アブラチャン,,クスノキ科,アブラチャン
public/hostplants.csv,1050,hostplant-001091,アブラチャン,,クスノキ科,アブラチャン
public/hostplants.csv,1057,hostplant-001098,アブラチャン,,クスノキ科,アブラチャン
public/hostplants.csv,1065,hostplant-001106,ジュウモンジシダ,,オシダ科,ジュウモンジシダ
public/hostplants.csv,1094,hostplant-001135,アカトドマツ,,マツ科,アカトドマツ
public/hostplants.csv,1102,hostplant-001143,ヒサカキ,サカキ科,モッコク科,ヒサカキ
public/hostplants.csv,1107,hostplant-001148,マサキ,,ニシキギ科,マサキ
public/hostplants.csv,1127,hostplant-001168,ナナミノキ,,モチノキ科,ナナミノキ
public/hostplants.csv,1182,hostplant-001223,アケビ,モクセイ科,アケビ科,アケビ
public/hostplants.csv,1207,hostplant-001249,モクレン,,モクレン科,シモクレン
public/hostplants.csv,1209,hostplant-001251,タムシバ,,モクレン科,タムシバ
public/hostplants.csv,1210,hostplant-001252,オオヤマレンゲ,,モクレン科,オオヤマレンゲ
public/hostplants.csv,1214,hostplant-001256,アブラチャン,,クスノキ科,アブラチャン
public/hostplants.csv,1216,hostplant-001258,コイケマ,,キョウチクトウ科,コイケマ
public/hostplants.csv,1220,hostplant-001263,テリハボク,フクギ科,テリハボク科,テリハボク
public/hostplants.csv,1223,hostplant-001266,タニガワハンノキ,,カバノキ科,タニガワハンノキ
public/hostplants.csv,1255,hostplant-001298,ヒサカキ,ツバキ科,モッコク科,ヒサカキ
public/hostplants.csv,1257,hostplant-001300,コリヤナギ,,ヤナギ科,コリヤナギ
public/hostplants.csv,1263,hostplant-091034,アカギ,トウダイグサ科,コミカンソウ科,アカギ
public/hostplants.csv,1268,hostplant-091039,モクタチバナ,,サクラソウ科,モクタチバナ
public/hostplants.csv,1273,hostplant-001309,ニワトコ,レンプクソウ科,ガマズミ科,ニワトコ
public/hostplants.csv,1335,hostplant-001374,ヒサカキ,サカキ科,モッコク科,ヒサカキ
public/hostplants.csv,1337,hostplant-001376,サンゴジュ,レンプクソウ科,ガマズミ科,サンゴジュ
public/hostplants.csv,1349,hostplant-001388,ホソバノウナギツカミ,,タデ科,ホソバノウナギツカミ
public/hostplants.csv,1353,hostplant-001392,ママコノシリヌグイ,,タデ科,ママコノシリヌグイ
public/hostplants.csv,1370,hostplant-001409,オキナワイボタ,,モクセイ科,オキナワイボタ
public/hostplants.csv,1393,hostplant-001432,イブキジャコウソウ,,シソ科,イブキジャコウソウ
public/hostplants.csv,1414,hostplant-001453,セイタカスズムシソウ,キツネノマゴ科,ラン科,セイタカスズムシソウ
public/hostplants.csv,1435,hostplant-001474,ガマズミ,レンプクソウ科,ガマズミ科,ガマズミ
public/hostplants.csv,1462,hostplant-001502,キバナシャクナゲ,,ツツジ科,キバナシャクナゲ
public/hostplants.csv,1465,hostplant-001505,エゾノツガザクラ,,ツツジ科,エゾノツガザクラ
public/hostplants.csv,1466,hostplant-001506,チシマツガザクラ,,ツツジ科,チシマツガザクラ
public/hostplants.csv,1467,hostplant-001507,クロウスゴ,,ツツジ科,クロウスゴ
public/hostplants.csv,1469,hostplant-001509,ハコベ,,ナデシコ科,コハコベ
public/hostplants.csv,1490,hostplant-001530,ガンコウラン,,ツツジ科,ガンコウラン
public/hostplants.csv,1491,hostplant-001531,キバナシャクナゲ,,ツツジ科,キバナシャクナゲ
public/hostplants.csv,1494,hostplant-001534,ジムカデ,,ツツジ科,ジムカデ
public/hostplants.csv,1505,hostplant-001545,ケショウヤナギ,,ヤナギ科,ケショウヤナギ
public/hostplants.csv,1508,hostplant-001548,ミヤマクマヤナギ,,クロウメモドキ科,ミヤマクマヤナギ
public/hostplants.csv,1515,hostplant-001555,ホツツジ,,ツツジ科,ホツツジ
public/hostplants.csv,1516,hostplant-001556,ウラジロヨウラク,,ツツジ科,ウラジロヨウラク
public/hostplants.csv,1529,hostplant-001569,ガクウツギ,,アジサイ科,ガクウツギ
public/hostplants.csv,1557,hostplant-001597,エビヅル,,ブドウ科,エビヅル
public/hostplants.csv,1570,hostplant-001610,ガンコウラン,,ツツジ科,ガンコウラン
public/hostplants.csv,1635,hostplant-001677,ボロボロノキ,ボロポロノキ科,ボロボロノキ科,ボロボロノキ
public/hostplants.csv,1646,hostplant-001688,ヤブデマリ,レンプクソウ科,ガマズミ科,ヤブデマリ
public/hostplants.csv,1659,hostplant-001701,ウゴツクバネウツギ,,スイカズラ科,ウゴツクバネウツギ
public/hostplants.csv,1682,hostplant-001724,タマザキツヅラフジ,,ツヅラフジ科,タマザキツヅラフジ
public/hostplants.csv,1686,hostplant-001728,ワダンノキ,,キク科,ワダンノキ
public/hostplants.csv,1689,hostplant-001731,シロトベラ,,トベラ科,シロトベラ
public/hostplants.csv,1690,hostplant-001732,オキナワトベラ,,トベラ科,オキナワトベラ
public/hostplants.csv,1692,hostplant-001734,サツマサンキライ,,サルトリイバラ科,サツマサンキライ
public/hostplants.csv,1693,hostplant-001735,オキナワサルトリイバラ,シオデ科,サルトリイバラ科,オキナワサルトリイバラ
public/hostplants.csv,1694,hostplant-001736,ソクズ,レンプクソウ科,ガマズミ科,ソクズ
public/hostplants.csv,1713,hostplant-001755,マンリョウ,,サクラソウ科,マンリョウ
public/hostplants.csv,1714,hostplant-001756,カラタチバナ,,サクラソウ科,カラタチバナ
public/hostplants.csv,1715,hostplant-001757,ヤブコウジ,,サクラソウ科,ヤブコウジ
public/hostplants.csv,1716,hostplant-001758,モクタチバナ,,サクラソウ科,モクタチバナ
public/hostplants.csv,1718,hostplant-001760,タイミンタチバナ,,サクラソウ科,タイミンタチバナ
public/hostplants.csv,1721,hostplant-001763,モクタチバナ,,サクラソウ科,モクタチバナ
public/hostplants.csv,1722,hostplant-001764,シシアクチ,,サクラソウ科,シシアクチ
public/hostplants.csv,1723,hostplant-001765,シマイズセンリョウ,,サクラソウ科,シマイズセンリョウ
public/hostplants.csv,1759,hostplant-001804,ミズナラ,バラ科,ブナ科,ミズナラ
public/hostplants.csv,1825,hostplant-001880,ニシキウツギ,,スイカズラ科,ニシキウツギ
public/hostplants.csv,1851,hostplant-001909,カラスザンショウ,,ミカン科,カラスザンショウ
public/hostplants.csv,1915,hostplant-001983,カワラハンノキ,,カバノキ科,カワラハンノキ
public/hostplants.csv,1938,hostplant-002010,チョウセンアサガオ,,ナス科,チョウセンアサガオ
public/hostplants.csv,1941,hostplant-002013,ノウゼンカズラ,,ノウゼンカズラ科,ノウゼンカズラ
public/hostplants.csv,1944,hostplant-002017,クコ,ゴマ科,ナス科,クコ
public/hostplants.csv,1947,hostplant-002021,チョウセンアサガオ,,ナス科,チョウセンアサガオ
public/hostplants.csv,1951,hostplant-002026,オオヤマレンゲ,,モクレン科,オオヤマレンゲ
public/hostplants.csv,1955,hostplant-002031,ユキヤナギ,,バラ科,ユキヤナギ
public/hostplants.csv,2006,hostplant-002089,カジノキ,,クワ科,カジノキ
public/hostplants.csv,2032,hostplant-002119,オトコエシ,オミナエシ科,スイカズラ科,オトコエシ
public/hostplants.csv,2052,hostplant-002143,エビヅル,,ブドウ科,エビヅル
public/hostplants.csv,2062,hostplant-002155,ヤエヤマアオキ,,アカネ科,ヤエヤマアオキ
public/hostplants.csv,2065,hostplant-002159,ヤエヤマアオキ,,アカネ科,ヤエヤマアオキ
public/hostplants.csv,2072,hostplant-002168,オオバルリミノキ,,アカネ科,オオバルリミノキ
public/hostplants.csv,2076,hostplant-002174,ユズリハ,,ユズリハ科,ユズリハ
public/hostplants.csv,2083,hostplant-002181,マムシグサ,,サトイモ科,マムシグサ
public/hostplants.csv,2093,hostplant-002191,ヤエヤマアオキ,,アカネ科,ヤエヤマアオキ
public/hostplants.csv,2096,hostplant-002194,クワズイモ,ヒルガオ科,サトイモ科,クワズイモ
public/hostplants.csv,2099,hostplant-002197,エビヅル,アカネ科,ブドウ科,エビヅル
public/hostplants.csv,2102,hostplant-002201,エビヅル,ビワモドキ科,ブドウ科,エビヅル
public/hostplants.csv,2104,hostplant-002204,ナガイモ,,ヤマノイモ科,ナガイモ
public/hostplants.csv,2105,hostplant-002205,オニドコロ,オシロイバナ科,ヤマノイモ科,オニドコロ
public/hostplants.csv,2109,hostplant-002210,サトイモ,,サトイモ科,サトイモ
public/hostplants.csv,2111,hostplant-002212,カラスビシャク,アカバナ科,サトイモ科,カラスビシャク
public/hostplants.csv,2123,hostplant-002228,クワズイモ,,サトイモ科,クワズイモ
public/hostplants.csv,2124,hostplant-002229,サトイモ,ツユクサ科,サトイモ科,サトイモ
public/hostplants.csv,2130,hostplant-002236,ムサシアブミ,,サトイモ科,ムサシアブミ
public/hostplants.csv,2135,hostplant-002243,ガクウツギ,,アジサイ科,ガクウツギ
public/hostplants.csv,2157,hostplant-002266,シナノキ,,アオイ科,シナノキ
public/hostplants.csv,2182,hostplant-002291,イヌエンジュ,,マメ科,イヌエンジュ
public/hostplants.csv,2183,hostplant-002292,ハリエンジュ,,マメ科,ハリエンジュ
public/hostplants.csv,2185,hostplant-002294,イヌエンジュ,,マメ科,イヌエンジュ
public/hostplants.csv,2186,hostplant-002295,チョウセンヤマナラシ,,ヤナギ科,チョウセンヤマナラシ
public/hostplants.csv,2216,hostplant-002325,ヒサカキ,サカキ科,モッコク科,ヒサカキ
public/hostplants.csv,2217,hostplant-002326,ヒサカキ,サカキ科,モッコク科,ヒサカキ
public/hostplants.csv,2219,hostplant-002328,オニグルミ,マンサク科,クルミ科,オニグルミ
public/hostplants.csv,2261,hostplant-002370,エノキ,ニレ科,アサ科,エノキ
public/hostplants.csv,2277,hostplant-002386,アサダ,,カバノキ科,アサダ
public/hostplants.csv,2283,hostplant-002392,ナナカマド,,バラ科,ナナカマド
public/hostplants.csv,2399,hostplant-002508,コノテガシワ,,ヒノキ科,コノテガシワ
public/hostplants.csv,2411,hostplant-002520,サンゴジュ,レンプクソウ科,ガマズミ科,サンゴジュ
public/hostplants.csv,2437,hostplant-002546,ミカイドウ,,バラ科,ミカイドウ
public/hostplants.csv,2446,hostplant-002555,キバナシャクナゲ,,ツツジ科,キバナシャクナゲ
public/hostplants.csv,2448,hostplant-002557,コメバツガザクラ,,ツツジ科,コメバツガザクラ
public/hostplants.csv,2449,hostplant-002558,チシマツガザクラ,,ツツジ科,チシマツガザクラ
public/hostplants.csv,2450,hostplant-002559,イワヒゲ,,ツツジ科,イワヒゲ
public/hostplants.csv,2452,hostplant-002561,エゾノタカネヤナギ,,ヤナギ科,エゾノタカネヤナギ
public/hostplants.csv,2489,hostplant-002598,ニワトコ,レンプクソウ科,ガマズミ科,ニワトコ
public/hostplants.csv,2493,hostplant-002602,ポプラ,,ヤナギ科,セイヨウハコヤナギ
public/hostplants.csv,2525,hostplant-002634,オオバギ,,トウダイグサ科,オオバギ
public/hostplants.csv,2535,hostplant-002644,アカギ,,コミカンソウ科,アカギ
public/hostplants.csv,2538,hostplant-002647,サカキ,サカキ科,モッコク科,サカキ
public/hostplants.csv,2577,hostplant-002686,ハクウンボク,ツツジ科,エゴノキ科,ハクウンボク
public/hostplants.csv,2602,hostplant-002711,ヒサカキ,サカキ科,モッコク科,ヒサカキ
public/hostplants.csv,2605,hostplant-002714,ハリエンジュ,,マメ科,ハリエンジュ
public/hostplants.csv,2641,hostplant-002750,ヒサカキ,,モッコク科,ヒサカキ
public/hostplants.csv,2642,hostplant-002751,サカキ,サカキ科,モッコク科,サカキ
public/hostplants.csv,2655,hostplant-002764,ヒメジョオン,,キク科,ヒメジョオン
public/hostplants.csv,2656,hostplant-002765,タケダグサ,,キク科,タケダグサ
