original,normalized_binomial,japanese
"*Elphos insueta* (Butler, 1878)",Elphos insueta,ウスグロエダシャク
"*Fascellina undulimarginata* Inoue, 1990",Fascellina undulimarginata,ミヤマヨツメエダシャク
"*Fascellina aurantiaca* Warren, 1894",Fascellina aurantiaca,トガリバエダシャク
"*Fascellina subsignata* (Warren, 1893)",Fascellina subsignata,アカマダラエダシャク
"*Ourapteryx inspersa* (Leech, 1897)",Ourapteryx inspersa,クロフタオエダシャク
"*Ourapteryx caecias* (Meyrick, 1911)",Ourapteryx caecias,ウスオビフタオエダシャク
"*Ourapteryx clara* Butler, 1880",Ourapteryx clara,ウスフタオエダシャク
"*Xanthorhoe curcumata* (Moore, 1888)",Xanthorhoe curcumata,キリシマエダシャク
"*Xanthorhoe subflava* (Warren, 1896)",Xanthorhoe subflava,クロオビシロエダシャク
"*Xanthorhoe umbrosa* (Butler, 1879)",Xanthorhoe umbrosa,トビスジエダシャク
"*Epirrhoe plebeculata* (Guenée, 1858)",Epirrhoe plebeculata,ウスアカナミシャク
"*Epirrhoe tristata* (Linnaeus, 1758)",Epirrhoe tristata,フタスジギンナミシャク
"*Epirrhoe alternata* (Müller, 1764)",Epirrhoe alternata,フタモンギンナミシャク
"*Epirrhoe superna* Djakonov, 1926",Epirrhoe superna,シロシマナミシャク
"*Epirrhoe medeifascia* (Staudinger, 1882)",Epirrhoe medeifascia,キナミシマナミシャク
"*Epirrhoe rivata* (Hübner, 1813)",Epirrhoe rivata,クロスジナミシャク
"*Epirrhoe commixta* (Matsumura, 1925)",Epirrhoe commixta,ナカグロナミシャク
"*Epirrhoe psyroides* (Inoue, 1954)",Epirrhoe psyroides,フタスジクロナミシャク
"*Costaconvexa centrostrigaria* (Wollaston, 1858)",Costaconvexa centrostrigaria,ウスグロナミシャク
"*Euphyia adumbraria* (Herrich-Schäffer, 1852)",Euphyia adumbraria,ナカオビナミシャク
"*Catarhoe putridaria* (Herrich-Schäffer, 1852)",Catarhoe putridaria,ギンモンアカナミシャク
"*Psychophora sabini* (Curtis, 1835)",Psychophora sabini,シロテンナミシャク
"*Anticlea consanguinata* Lederer, 1853",Anticlea consanguinata,ウスアオナミシャク
"*Anticlea hansi* (Hedemann, 1881)",Anticlea hansi,フタスジキナミシャク
"*Anticlea subornata* (Inoue, 1955)",Anticlea subornata,キシタナミシャク
"*Earophila badiata* (Denis & Schiffermüller, 1775)",Earophila badiata,ウラモンナミシャク
"*Spargania luctuata* (Denis & Schiffermüller, 1775)",Spargania luctuata,ウスアオナミシャク
"*Spargania djakonovi* Mirzojan, 1970",Spargania djakonovi,ナカオビアオナミシャク
"*Spargania magnoliata* Guenée, 1858",Spargania magnoliata,ミヤマナカオビアオナミシャク
"*Triphosa amblychroura* Prout, 1937",Triphosa amblychroura,ナカオビエダシャク
"*Triphosa rubrodotata* (Walker, 1862)",Triphosa rubrodotata,クロオビシロエダシャク
"*Philereme vetulata* (Denis & Schiffermüller, 1775)",Philereme vetulata,クロフナミシャク
"*Hydria undulata* (Linnaeus, 1758)",Hydria undulata,キエダナミシャク
"*Cidaria fulvata* (Forster, 1771)",Cidaria fulvata,ヤマナミシャク
"*Pennithera djakonovi* (Kurentzov, 1950)",Pennithera djakonovi,アカガネナミシャク
"*Dysstroma hedemannaria* (Oberthür, 1880)",Dysstroma hedemannaria,ナカジロネグロナミシャク
