和名,学名
カタスジカミナリハムシ,Altica coerulea (Olivier)
ワレモコウカミナリハムシ,Altica sanguinosorbae Ohno
キタツブノミハムシ,Aphthona erichsoni Zetterstedt
オキナワツブノミハムシ,Aphthona okinawaensis Konstantinov et Lingafelter
キアシツブノミハムシ,Aphthona semiviridis Jacoby
オカボトビハムシ,Chaetocnema basalis Baly
ヘリグロキスジノミハムシ,Lyperotoma nigra Chujo
コマツナキスジノミハムシ,Lyperotoma sakamotoi Kimoto
ルイスキスジノミハムシ,Neoplatyphileurus lewisi (Balý)
アオバキスジノミハムシ,Neoplatyphileurus nigripennis (Lewis)
クロボシキスジノミハムシ,Neoplatyphileurus nigropunctatus (Baly)
イズミキスジノミハムシ,Neoplatyphileurus okinawaensis Kimoto
ヤマトキスジノミハムシ,Neoplatyphileurus orientalis Chujo
タケトビハムシ,Neptacodes bipunctatus (Baly)
ホシベニトビハムシ,Neptacodes variabilis (Baly)
オオアヤメトビハムシ,Oberea japonica (Baly)
ヒメアヤメトビハムシ,Oberea minuta (Baly)
スギナトビハムシ,Oberea sylvatica (Baly)
キベリトビハムシ,Orthaltica ohshimai Kimoto
ハヤトミゾアシノミハムシ,Phyllobrotica hayashii Kimoto
アカハネノミハムシ,Phyllobrotica quadripustulata (Baly)
アカハネヒメノミハムシ,Phyllobrotica takizawai Kimoto
マルノミハムシ,Phyllotreta cruciferae (Goeze)
ニホンマルノミハムシ,Phyllotreta japonica Chujo
ホソバマルノミハムシ,Phyllotreta konoi Kimoto
ヒゲナガノミハムシ,Phratora koreana Chujo
クロノミハムシ,Phratora polaris (Schaller)
アオノミハムシ,Phratora vitellinae (Linnaeus)
アカギトビハムシ,Podontia lutea (Olivier)
ミドリヒゲブトノミハムシ,Polyclada nigromaculata Baly
ヒメキイロヒラタノミハムシ,Pulexella luzonica Chujo
アオハラヒラタノミハムシ,Pulexella nigricollis Chujo
アマミヒラタノミハムシ,Pulexella okinoerabuensis Kimoto
フタイロヒメノミハムシ,Rhacodolus bipustulatus (Baly)
アマミヒメノミハムシ,Rhacodolus okinoerabuensis Kimoto
コブノミハムシ,Sphaeroderma testaceum (Fabricius)
オキナワヒメノミハムシ,Tanakia gracilis (Baly)
アカボシトビハムシ,Trachys troglodytes Gyllenhal
タケノミハムシ,Trichonotuloides okinawaensis Kimoto
アカガネヒメトビハムシ,Xanthogaleruca orientalis (Chujo)
