insect_id,japanese_name,scientific_name,change_type,current_value,proposed_value,source,source_url,confidence,review_required,approved,note
,ウスアカフヤガ,Diarsia ruficanda Warren,新産地,,九州初記録,行徳直巳 (1979),,high,,,"ページ: 6, 蛾類通信 101号, ファイル: jhj101.pdf"
species-5521,サザナミクチバ,Polydesma boarmoides Guenee,新産地,,奄美大島名瀬市浦上で採集,杉繁郎 (1979),,high,,,"ページ: 2, 蛾類通信 101号, ファイル: jhj101.pdf"
,カレンコウアトジロコケガ,Parasiccia harenkonis Matsumura,誤り修正,,屋久島の記録を取消し、これはヒメゴマフコヤガMetaemene atriguttata maculata Leechの誤りであった,岸田泰則 (1979),,high,,,"ページ: 2, 蛾類通信 101号, ファイル: jhj101.pdf"
species-5205,ソトウスベニアツバ,Sarcopteron fasciata (Wileman & South),和名変更,,新称の和名を提出,杉繁郎 (1979),,high,YES,,"ページ: 3, 蛾類通信 101号, ファイル: jhj101.pdf"
species-5509,オオトウウスグロクチバ,Avitta fasciosa Moore,新産地,,東日本初記録：神奈川県大垂水峠、東京都日原,"岸田泰則, 山本光人 (1979)",,high,,,"ページ: 5, 蛾類通信 101号, ファイル: jhj101.pdf"
species-20647,コハイイロヨトウ,Anepia aberrans Oberthür,新産地,,香川県初記録,増井武彦 (1979),,high,,,"ページ: 11, 蛾類通信 101号, ファイル: jhj101.pdf"
species-3725,コウノエダシャク,Gnophos sordaria hononis,学名変更,,"Yezognophos hononis Matsumura, 1927をGnophos sordaria hononis (Matsumura) comb. & stat. nov.に変更。ヨーロッパのGnophos sordaria (Thunberg)の亜種として扱う",佐藤力夫 (1979),,high,YES,,"ページ: 1-3, 蛾類通信 102号, ファイル: jhj102.pdf"
species-4317,マエテンカバナミシャク,Eupithecia costiconvexa,新記録種,,井上寛による新種記載。本州西部、四国、九州、対馬、屋久島に分布,杉繁郎 (1979),,high,,,"ページ: 4, 蛾類通信 102号, ファイル: jhj102.pdf"
species-4320,キモンカバナミシャク,Eupithecia flavoapicaria,新記録種,,井上寛による新種記載。福岡県大牟田市、12月,杉繁郎 (1979),,high,,,"ページ: 4, 蛾類通信 102号, ファイル: jhj102.pdf"
,セスジカバナミシャク,Eupithecia mandscharica japonica,学名変更,,井上寛による新亜種記載,杉繁郎 (1979),,high,YES,,"ページ: 4, 蛾類通信 102号, ファイル: jhj102.pdf"
,クロテンセスジカバナミシャク,Eupithecia interpunctaria,新記録種,,井上寛による新種記載。北海道、本州、四国、九州、対馬に分布,杉繁郎 (1979),,high,,,"ページ: 4, 蛾類通信 102号, ファイル: jhj102.pdf"
,ウスイロセスジカバナミシャク,Eupithecia angustipunctaria,新記録種,,井上寛による新種記載。北海道に分布,杉繁郎 (1979),,high,,,"ページ: 4, 蛾類通信 102号, ファイル: jhj102.pdf"
species-4342,シタジロカバナミシャク,Eupithecia idiobusilillata,新記録種,,井上寛による新種記載。本州中部に分布,杉繁郎 (1979),,high,,,"ページ: 4, 蛾類通信 102号, ファイル: jhj102.pdf"
species-4343,ミスジカバナミシャク,Eupithecia neosatyra,新記録種,,井上寛による新種記載。香川県白峰、4月,杉繁郎 (1979),,high,,,"ページ: 4, 蛾類通信 102号, ファイル: jhj102.pdf"
species-3475,アヤトガリバ,Habrosyne pyritoides derasoides,新産地,,対馬での分布を確認。知首山、佐護深山等で採集記録,神保一義 (1979),,high,,,"ページ: 7, 蛾類通信 102号, ファイル: jhj102.pdf"
species-3476,オオアヤトガリバ,Habrosyne fraterna japonica,新産地,,沖縄本島で初記録。コザ市で採集,神保一義 (1979),,high,,,"ページ: 11, 蛾類通信 102号, ファイル: jhj102.pdf"
species-3476,オオアヤトガリバ,Habrosyne fraterna chekiangensis,新記録種,,台湾で初記録。阿里山、奮起湖等で採集,神保一義 (1979),,high,,,"ページ: 12, 蛾類通信 102号, ファイル: jhj102.pdf"
species-4198,トビスジヤエナミシャク,Philereme transversata japanaria Leech,食草追加,,クロウメモドキ（Rhamnus japonica）を食草として確認,矢崎克己 (1979),,high,,OK,"ページ: 1-2, 蛾類通信 103号, ファイル: jhj103.pdf"
species-20700,ニセタマナヤガ,Peridroma saucia (Hübner),新産地,,岐阜県高山市岩井町日影平から記録。中部地方初記録,田部達也 (1979),,high,,,"ページ: 2, 蛾類通信 103号, ファイル: jhj103.pdf"
species-4976,リュウキュウキノカワガ,Risoba prominens Moore,食草追加,,ヤマモモ（Myrica rubra）を食草として確認,宮田保 (1979),,high,,OK,"ページ: 3-5, 蛾類通信 103号, ファイル: jhj103.pdf"
species-4917,シメキクロコブガ,Meganola shimekii Inoue,食草追加,,クヌギ（Quercus acutissima）から幼虫を記録,杉繁郎 (1979),,high,,OK,"ページ: 5, 蛾類通信 103号, ファイル: jhj103.pdf"
