score,category,display_scope,profile_id,plant_name,scientific_name,family,family_latin,page,printed_page,source,current_value,expected_or_check,reason,evidence
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-003556,アイナエ,Mitrasaeme pygmaea,マチン科,LOGANIACEAE,158,,日本の野生植物 第2巻,Geniostoma,mitrasaeme,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-001326,アイヌソモソモ,Poa fauriei,イネ科,POACEAE,157,,日本の野生植物 第1巻,Phleum,poa,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-000723,アオイカズラ,Streptolirion lineare,ツユクサ科,COMMELINACEAE,103,,日本の野生植物 第1巻,Streptolinion,streptolirion,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-001320,アオイチゴツナギ,Poa alta,イネ科,POACEAE,157,313,日本の野生植物 第1巻,Phleum,poa,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-000213,アオウキクサ,Lemna aoukikusa,サトイモ科,ARACEAE,44,87,日本の野生植物 第1巻,Landottia,lemna,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-001106,アオガヤツリ,Cyperus nipponieus,カヤツリグサ科,CYPERACEAE,131,,日本の野生植物 第1巻,Cladium,cyperus,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-000491,アオキラン,Epipogium japonieum,ラン科,ORCHIDACEAE,77,153,日本の野生植物 第1巻,Epipogiumn,epipogium,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-002802,アオギリ,Firmiana simnplex,アオイ科,MALVACEAE,61,,日本の野生植物 第2巻,Corchorus,firmiana,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-000969,アオスゲ,Cares leueochlora,カヤツリグサ科,CYPERACEAE,123,,日本の野生植物 第1巻,Carex,cares,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-000481,アオチドリ,Dactylorhiza viridis,ラン科,ORCHIDACEAE,76,150,日本の野生植物 第1巻,Cyrtosia,dactylorhiza,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-001145,アオテンツキ,Fimnbristylis dipsacea,カヤツリグサ科,CYPERACEAE,134,,日本の野生植物 第1巻,Fimbristylis,fimnbristylis,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-001780,アオノイワレンゲ,Orostachys malacophylla,ベンケイソウ科,CRASSULACEAE,213,424,日本の野生植物 第1巻,Kalanchoe,orostachys,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-003319,アオノツガザクラ,Plyllodoce aleutica,ツツジ科,ERICACEAE,133,,日本の野生植物 第2巻,Phyllodoce,plyllodoce,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-003280,アオバナハイノキ,Symplocos liukiuensis,ハイノキ科,SYMPLOCACEAE,126,,日本の野生植物 第2巻,Syuplocos,symplocos,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-003269,アオバノキ,Symplocos cochinchinensis,ハイノキ科,SYMPLOCACEAE,126,250,日本の野生植物 第2巻,Syuplocos,symplocos,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-002102,アオミズ,Pilea pumila,イラクサ科,URTICACEAE,259,,日本の野生植物 第1巻,Pllea,pilea,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-000370,アオヤギソウ,Veratrum maackii,シュロソウ科,MELANTHIACEAE,63,,日本の野生植物 第1巻,Paris,veratrum,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-001978,アカササゲ,Vigna vexillata,ハマビシ科,ZYGOPHYLLACEAE,243,484,日本の野生植物 第1巻,Thermopsis,vigna,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-003517,アカミズキ,Wendlandia formosana,アカネ科,RUBIACEAE,153,,日本の野生植物 第2巻,Wendlandla,wendlandia,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-003694,アカミノイヌホオズキ,Solanum villlosum,ナス科,SOLANACEAE,173,,日本の野生植物 第2巻,Seopolia,solanum,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-001531,アカミノルイヨウショウマ,Actaea erythroearpa,キンポウゲ科,RANUNCULACEAE,185,369,日本の野生植物 第1巻,Thalictrum,actaea,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-003404,アカモノ,Gaultheria adenothrix,ツツジ科,ERICACEAE,140,,日本の野生植物 第2巻,Arctous,gaultheria,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
78,genus_scientific_conflicts_with_scientific_name,profile_candidate,plant-profile-003344,アカヤシオ,Rhododendron pentaphyllum,ツツジ科,ERICACEAE,136,,日本の野生植物 第2巻,Phyllodoce,rhododendron,The row's genus field should match the first word of the scientific name.,This usually means parser state leaked from a neighboring OCR block.
