record_id,book_page,insect_id,japanese_name,plant_name,plant_family,observation_type,source_reference,verification_note,ocr_evidence_text
hostplant-ZUKAN4-P086155-0001,86,species-0345,ムジヒカリバコガ,アカシデ,カバノキ科,文献,日本産蛾類標準図鑑4,,寄主植物]ブナ(ブナ科)。アカシデ(カバノキ科)、ヨーロッパではシナノキ属Tilia(アオイ科)を寄主とすることが知られる(Huemer
hostplant-ZUKAN4-P086155-0002,86,species-0345,ムジヒカリバコガ,シナノキ属,アオイ科,野外（国外）,日本産蛾類標準図鑑4,,寄主植物]ブナ(ブナ科)。アカシデ(カバノキ科)、ヨーロッパではシナノキ属Tilia(アオイ科)を寄主とすることが知られる(Huemer
hostplant-ZUKAN4-P086155-0003,86,species-0345,ムジヒカリバコガ,ブナ,ブナ科,文献,日本産蛾類標準図鑑4,,寄主植物]ブナ(ブナ科)。アカシデ(カバノキ科)、ヨーロッパではシナノキ属Tilia(アオイ科)を寄主とすることが知られる(Huemer
hostplant-ZUKAN4-P086155-0004,87,species-0346,アトキヒカリバコガ,カエデ属,ムクロジ科,野外（国外）,日本産蛾類標準図鑑4,,"[寄主植物]日本では未確認。ヨーロッパでは、シナノキ属Tilia.カバノキ属Belula,ハシバミ属Corylus.カエデ属Acerなどが知られる。"
hostplant-ZUKAN4-P086155-0005,87,species-0346,アトキヒカリバコガ,カバノキ属,カバノキ科,野外（国外）,日本産蛾類標準図鑑4,,"[寄主植物]日本では未確認。ヨーロッパでは、シナノキ属Tilia.カバノキ属Belula,ハシバミ属Corylus.カエデ属Acerなどが知られる。"
hostplant-ZUKAN4-P086155-0006,87,species-0346,アトキヒカリバコガ,シナノキ属,アオイ科,野外（国外）,日本産蛾類標準図鑑4,,"[寄主植物]日本では未確認。ヨーロッパでは、シナノキ属Tilia.カバノキ属Belula,ハシバミ属Corylus.カエデ属Acerなどが知られる。"
hostplant-ZUKAN4-P086155-0007,87,species-0346,アトキヒカリバコガ,ハシバミ属,カバノキ科,野外（国外）,日本産蛾類標準図鑑4,,"[寄主植物]日本では未確認。ヨーロッパでは、シナノキ属Tilia.カバノキ属Belula,ハシバミ属Corylus.カエデ属Acerなどが知られる。"
hostplant-ZUKAN4-P086155-0008,87,species-0348,ホルトノキナガヒゲガ,ホルトノキ,ホルトノキ科,文献,日本産蛾類標準図鑑4,,寄主植物]ホルトノキ(ホルトノキ科).
hostplant-ZUKAN4-P086155-0009,87,species-0349,アオギリチビガ,アオギリ,アオイ科,文献,日本産蛾類標準図鑑4,,[寄主植物]アオギリ(アオイ科).
hostplant-ZUKAN4-P086155-0010,88,species-0350,ハマボウチビガ,ハマボウ,アオイ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ハマボウ(アオイ科).
hostplant-ZUKAN4-P086155-0011,88,species-0351,ハイイロチビガ,ヨモギ,キク科,文献,日本産蛾類標準図鑑4,,[寄主植物]ヨモギ(キク科).
hostplant-ZUKAN4-P086155-0012,88,species-0352,アズサガワチビガ,Artemisia laciniata,キク科,野外（国外）,日本産蛾類標準図鑑4,,"[寄主植物]日本では未確認ヨーロッパでは,Artemisialaciniata(=A.tanacetifolia)(キク科)を寄主とすることが知られる。"
hostplant-ZUKAN4-P086155-0013,88,species-0353,ウラギクチビガ,Artemisia maritima,キク科,野外（国外）,日本産蛾類標準図鑑4,,寄主植物]ウラギク(キク科)。ヨーロッパでは、ウラギクの他にArtemisiamaritima(=Seriphidiummaritimum)(キク科)を寄主とすることが知られる。
hostplant-ZUKAN4-P086155-0014,88,species-0353,ウラギクチビガ,ウラギク,キク科,文献,日本産蛾類標準図鑑4,,寄主植物]ウラギク(キク科)。ヨーロッパでは、ウラギクの他にArtemisiamaritima(=Seriphidiummaritimum)(キク科)を寄主とすることが知られる。
hostplant-ZUKAN4-P086155-0015,88,species-0354,ヨモギチビガ,ヨモギ,キク科,文献,日本産蛾類標準図鑑4,,[寄主植物]ヨモギ(キク科)。国外では、未.
hostplant-ZUKAN4-P086155-0016,88,species-0355,イワテヨモギチビガ,オオヨモギ,キク科,文献,日本産蛾類標準図鑑4,,"[寄主植物]ヨモギ,オオヨモギ(以上キク科).国外では、未知[分類]並種区分はされていない。タイプ産地はロシア南東部.和名未設定Bucculatrixsp.2図版:なし"
hostplant-ZUKAN4-P086155-0017,88,species-0355,イワテヨモギチビガ,ヨモギ,キク科,文献,日本産蛾類標準図鑑4,,"[寄主植物]ヨモギ,オオヨモギ(以上キク科).国外では、未知[分類]並種区分はされていない。タイプ産地はロシア南東部.和名未設定Bucculatrixsp.2図版:なし"
hostplant-ZUKAN4-P086155-0018,89,species-0358,ナシチビガ,サクラ類,バラ科,文献,日本産蛾類標準図鑑4,,寄主植物]ナシ、リンゴ、サクラ類、ズミ、ナナカマド(以上バラ科).
hostplant-ZUKAN4-P086155-0019,89,species-0358,ナシチビガ,ズミ,バラ科,文献,日本産蛾類標準図鑑4,,寄主植物]ナシ、リンゴ、サクラ類、ズミ、ナナカマド(以上バラ科).
hostplant-ZUKAN4-P086155-0020,89,species-0358,ナシチビガ,ナシ,バラ科,文献,日本産蛾類標準図鑑4,,寄主植物]ナシ、リンゴ、サクラ類、ズミ、ナナカマド(以上バラ科).
hostplant-ZUKAN4-P086155-0021,89,species-0358,ナシチビガ,ナナカマド,バラ科,文献,日本産蛾類標準図鑑4,,寄主植物]ナシ、リンゴ、サクラ類、ズミ、ナナカマド(以上バラ科).
hostplant-ZUKAN4-P086155-0022,89,species-0358,ナシチビガ,リンゴ,バラ科,文献,日本産蛾類標準図鑑4,,寄主植物]ナシ、リンゴ、サクラ類、ズミ、ナナカマド(以上バラ科).
hostplant-ZUKAN4-P086155-0023,89,species-0359,クロツバラチビガ,クロウメモドキ,クロウメモドキ科,文献,日本産蛾類標準図鑑4,,[寄主植物]クロツバラ、クロウメモドキ(以上クロウメモドキ科).
hostplant-ZUKAN4-P086155-0024,89,species-0359,クロツバラチビガ,クロツバラ,クロウメモドキ科,文献,日本産蛾類標準図鑑4,,[寄主植物]クロツバラ、クロウメモドキ(以上クロウメモドキ科).
hostplant-ZUKAN4-P086155-0025,89,species-0360,シナノキチビガ,シナノキ,アオイ科,文献,日本産蛾類標準図鑑4,,[寄主植物]シナノキ(アオイ科).
hostplant-ZUKAN4-P086155-0026,89,species-0361,ノアサガオチビガ,サツマイモ,ヒルガオ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ノアサガオ、サツマイモ(以上ヒルガオ科).
hostplant-ZUKAN4-P086155-0027,89,species-0361,ノアサガオチビガ,ノアサガオ,ヒルガオ科,文献,日本産蛾類標準図鑑4,,[寄主植物]ノアサガオ、サツマイモ(以上ヒルガオ科).
