和名,学名,成虫発生時期,成虫発生時期に関する備考
イカリモンガ,Pterodecta felderi (Bremer, 1864),4~5月 (越冬成虫)、8月 (新成虫),成虫で越冬する。
ベニイカリモンガ,Callidula attenuata (Moore, 1879),5~10月,くわしい化性など不明である。
マエキカギバ,Agnidra scabiosa (Butler, 1877),春(1化目)、7月下旬~8月上旬(2化目),年2化、蛹越冬。
オガサワラカギバ,Microblepsis acuminata (Leech, 1890),5月中旬~6月と7~8月,年2化、蛹越冬。
マンレイカギバ,Microblepsis manleyi (Leech, 1898),5~6月と7~8月,年2化、蛹越冬する。
ヒメハイイロカギバ,Pseudalbara parvula (Leech, 1890),5~6月と7~9月,2化目の幼虫は9~10月に出現し、かなり遅い時期まで中齢幼虫が見られるので、幼虫越冬の可能性が高い。
ヤマトカギバ,Nordstromia japonica (Moore, 1877),春と秋,年2化、蛹越冬する。
エゾカギバ,Nordstromia grisearia (Staudinger, 1892),春と秋,経過習性は前種(ヤマトカギバ)とほぼ同じ。
サキシマカギバ,Nordstromia duplicata (Warren, 1922),3~12月,年間を通して連続的に発生していると思われる。
ウスオビカギバ,Sabra harpagula (Esper, 1786),5月下旬から(関東地方周辺の山間部)、7月下旬~8月中旬(中部地方の山地),北海道、東北地方、中部地方の山地では年1化と思われる。
オビカギバ,Drepana curvatula (Borkhausen, 1790),6~7月と8~9月,年2化。
ウコンカギバ,Tridrepana crocea (Leech, 1889),6月、7月下旬~8月上旬、9月中旬~10月,3回発生する。3化目の♀が産んだ卵は10月中旬以降に孵化し、幼虫で越冬する。
ヒメウコンカギバ,Tridrepana unispina Watson, 1957,3~11月,年3回以上発生すると思われる。本州の産地では前種同様に幼虫越冬で、春早い時期に摂食行動を開始すると推定される。
ギンモンカギバ,Callidrepana patrana (Moore, 1866),5月、7~8月、9月,年3~4回出現すると考えられる。蛹越冬する。
ウスイロカギバ,Callidrepana palleola (Motschulsky, 1866),5月、7~8月、9月,経過習性は前種(ギンモンカギバ)とほぼ同じである。
クロモンカギバ,Callidrepana melanonota Inoue, 1982,3~10月,連続的に発生している。
オオギンモンカギバ,Callidrepana hirayamai Nagano, 1918,3~8月,少なくとも2化以上と思われる。
フタテンソトグロキエダシャク,"Pseudepione shiraii Inoue, 1943",,
ウスオビヒメエダシャク,"Euchristophia cumulata (Christoph, 1881)",,
ハグルマエダシャク,"Synegia hadassa (Butler, 1878)",,
アベリアハグルマエダシャク,"Synegia pallens Inoue, 1982",,
マルハグルマエダシャク,"Synegia ichinosawaiana (Matsumura, 1925)",,
スジハグルマエダシャク,"Synegia limitatoides Inoue, 1982",,
オオツカハグルマエダシャク,"Synegia ohtsukai Sato, 1990",,
ダイセンハグルマエダシャク,"Synegia daisenensis Sato & Masui, 2012",,
ミナミハグルマエダシャク,"Synegia masuii Sato, 1990",,
クロハグルマエダシャク,"Synegia esther Butler, 1881",,
オオハグルマエダシャク,"Borbacha pardaria (Guenée, 1858)",,
シロズエダシャク,"Ecpetelia albifrontaria (Leech, 1891)",,
コトビスジエダシャク,"Petelia rivulosa (Butler, 1881)",,
ヨスジアカエダシャク,"Astygisa morosa (Butler, 1881)",,
オオヨスジアカエダシャク,"Astygisa chlororphnodes (Wehrli, 1936)",,
ウラキトガリエダシャク,"Hypephyra terrosa Butler, 1889",,
クガニエダシャク,"Hyperythra lutea (Stoll, 1781)",,
ツマキエダシャク,"Platycerota incertaria (Leech, 1891)",,
ツマキアカエダシャク,"Platycerota particolor (Warren, 1896)",,
フタテンオエダシャク,"Chiasmia defixaria (Walker, 1861)",,
ナガオエダシャク,"Chiasmia cinerearia (Bremer & Grey, 1853)",,
ウスオエダシャク,"Chiasmia hebesata (Walker, 1861)",,
オキナワオエダシャク,"Chiasmia emersaria (Walker, 1861)",,
ヒメアミメエダシャク,"Chiasmia clathrata (Linnaeus, 1758)",,
ワモクメオエダシャク,"Chiasmia arcadia Sato & Nishizawa, 2019",,
カバイロオエダシャク,"Chiasmia kanshireiensis (Wileman, 1914)",,
シャンハイオエダシャク,"Macaria shanghaisaria Walker, 1861",,
シロオビオエダシャク,"Macaria fuscaria (Leech, 1891)",,
シナノオエダシャク,"Macaria signaria (Hübner, 1809)",,
チャオビオエダシャク,"Macaria liturata (Clerck, 1759)",,
ギンネムエダシャク,"Macaria abydata Guenée, 1858",,
キトビエダシャク,"Macaria brunneata (Thunberg, 1784)",,
ウスキオエダシャク,"Oxymacaria normata (Alphéraky, 1892)",,
クロモンオエダシャク,"Oxymacaria temeraria (Swinhoe, 1891)",,
フトスジオエダシャク,"Oxymacaria pryeri (Butler, 1879)",,
ウスネズミエダシャク,"Isturgia vapulata (Butler, 1879)",,
トビカギバエダシャク,"Luxiaria amasa (Butler, 1878)",,
ミナミトビカギバエダシャク,"Luxiaria mitorrhaphes Prout, 1925",,
マエモントビカギバエダシャク,"Luxiaria costinota Inoue, 1978",,
キトビカギバエダシャク,"Pseudonadagara semicolor (Warren, 1895)",,
カギバエダシャク,"Pseudonadagara hepatica Inoue, 1994",,
スエヒロエダシャク,"Gonodontis pallida (Butler, 1880)",,
アトムスジエダシャク,"Aporhoptrina semiorbiculata (Christoph, 1881)",,
クロフキエダシャク,"Monocerotesa lutearia (Leech, 1891)",,
ダイセツタカネエダシャク,"Glacies coracina (Esper, 1805)",,
ヘリグロエダシャク,"Bupalus vestalis Staudinger, 1897",,
スカシエダシャク,"Krananda semihyalina Moore, 1868",,
ツマジロエダシャク,"Krananda latimarginaria Leech, 1891",,
キベリゴマフエダシャク,"Epobeidia tigrata (Guenée, 1858)",,
トンボエダシャク,"Cystidia stratonice (Stoll, 1782)",,
ヒロオビトンボエダシャク,"Cystidia truncangulata Wehrli, 1934",,
ウメエダシャク,"Cystidia couaggaria (Guenée, 1858)",,
シロジマエダシャク,"Euryobeidia languidata (Walker, 1862)",,
ゴマダラシロエダシャク,"Antipercnia albinigrata (Warren, 1896)",,
オオゴマダラエダシャク,"Parapercnia giraffata (Guenée, 1858)",,
クロフオオシロエダシャク,"Pogonopygia nigralbata Warren, 1894",,
タイワンオオシロエダシャク,"Pogonopygia pavida (Bastelberger, 1911)",,
クロフシロエダシャク,"Dilophodes elegans (Butler, 1878)",,
キオビエダシャク,"Milionia zonea Moore, 1872",,
ナカウスエダシャク,"Alcis angulifera (Butler, 1878)",,
ヒメナカウスエダシャク,"Alcis medialbifera Inoue, 1972",,
コケエダシャク,"Alcis jubata (Thunberg, 1788)",,
オオナカホシエダシャク,"Alcis pryeraria (Leech, 1897)",,
シロシタオビエダシャク,"Alcis picata (Butler, 1881)",,
イツスジエダシャク,"Alcis extinctaria (Eversmann, 1851)",,
ババエダシャク,"Hesperumia babai Sato, 1980",,
マダラシロエダシャク,"Hesperumia silvicola (Inoue, 1953)",,
マルバトビスジエダシャク,"Anaboarmia aechmeessa (Prout, 1929)",,
フタキスジエダシャク,"Gigantalcis flavolinearia (Leech, 1891)",,
クロクモエダシャク,"Apocleora rimosa (Butler, 1879)",,
マツオオエダシャク,"Deileptenia ribeata (Clerck, 1759)",,
キタルリモンエダシャク,"Cleora cinctaria (Denis & Schiffermüller, 1775)",,
ルリモンエダシャク,"Cleora insolita (Butler, 1878)",,
アマミシロテンエダシャク,"Cleora amamiensis Sato, 1978",,
ヤクシマフトスジエダシャク,"Cleora minutaria (Leech, 1891)",,
ソトシロモンエダシャク,"Cleora venustaria (Leech, 1891)",,
オガサワラフトスジエダシャク,"Cleora ogasawarensis Inoue, 1994",,
リュウキュウフトスジエダシャク,"Cleora injectaria (Walker, 1860)",,
フトスジエダシャク,"Cleora repulsaria (Walker, 1860)",,
ヤエヤマフトスジエダシャク,"Cleora alienaria (Walker, 1860)",,
ヨモギエダシャク,"Ascotis selenaria (Denis & Schiffermüller, 1775)",,
セブトエダシャク,"Cusiala stipitaria (Oberthür, 1880)",,
ウストビスジエダシャク,"Ectropis aigneri Prout, 1930",,
オオトビスジエダシャク,"Ectropis excellens (Butler, 1884)",,
ウルマトビスジエダシャク,"Ectropis bhurmitra (Walker, 1860)",,
フトフタオビエダシャク,"Ectropis crepuscularia (Denis & Schiffermüller, 1775)",,
スギノキエダシャク,"Ectropis cryptomeriae Sato, 2018",,
ウスジロエダシャク,"Ectropis obliqua (Prout, 1915)",,
テンモンエダシャク,"Catoria sublavaria (Guenée, 1858)",,
ハミスジエダシャク,"Hypomecis roboraria (Denis & Schiffermüller, 1775)",,
オオバナミガタエダシャク,"Hypomecis lunifera (Butler, 1878)",,
アキバエダシャク,"Hypomecis akiba (Inoue, 1963)",,
ナカシロオビエダシャク,"Hypomecis definita (Butler, 1881)",,
ウスバミスジエダシャク,"Hypomecis punctinalis (Scopoli, 1763)",,
アマミミスジエダシャク,"Hypomecis yuwanina (Sato, 1981)",,
ヒメミスジエダシャク,"Hypomecis kuriligena (Bryk, 1942)",,
フトオビエダシャク,"Hypomecis crassestrigata (Christoph, 1881)",,
ソトシロオビエダシャク,"Calicha ornataria (Leech, 1891)",,
クロオオモンエダシャク,"Microcalicha fumosaria (Leech, 1891)",,
シタクモエダシャク,"Microcalicha sordida (Butler, 1878)",,
ヒロバウスアオエダシャク,"Paradarisa chloauges Prout, 1927",,
シナトビスジエダシャク,"Paradarisa consonaria (Hübner, 1799)",,
ナミスジエダシャク,"Racotis petrosa (Butler, 1879)",,
ホシミスジエダシャク,"Racotis boarmiaria (Guenée, 1858)",,
ウスチャトビモンエダシャク,"Psilalcis breta (Swinhoe, 1890)",,
マエモンキエダシャク,"Heterarmia costipunctaria (Leech, 1891)",,
ナミガタエダシャク,"Heterarmia charon (Butler, 1878)",,
トガリスジグロエダシャク,"Heterarmia dissimilis (Staudinger, 1897)",,
ツシマウスグロエダシャク,"Polymixinia appositaria (Leech, 1891)",,
オレクギエダシャク,"Protoboarmia simpliciaria (Leech, 1897)",,
ニセオレクギエダシャク,"Protoboarmia faustinata (Warren, 1897)",,
ウスグロナミエダシャク,"Phanerothyris sinearia (Guenée, 1858)",,
ハラゲエダシャク,"Diplurodes vestita Warren, 1896",,
ハラゲチビエダシャク,"Satoblephara parvularia (Leech, 1891)",,
キバネトビスジエダシャク,"Myrioblephara cilicornaria (Püngeler, 1903)",,
チビトビスジエダシャク,"Myrioblephara nanaria (Staudinger, 1897)",,
ハンノトビスジエダシャク,"Aethalura ignobilis (Butler, 1878)",,
コヨツメエダシャク,"Ophthalmitis irrorataria (Bremer & Grey, 1853)",,
シロモンキエダシャク,"Parectropis similaria (Hufnagel, 1767)",,
コケヒメエダシャク,"Dischidesia kurokoi Inoue, 1963",,
シロテントビスジエダシャク,"Abaciscus albipunctata (Inoue, 1955)",,
スジグロエダシャク,"Arbognophos amoenaria (Staudinger, 1897)",,
