和名,学名,成虫発生時期,成虫発生時期に関する備考
コブウスチャヒメシャク,"Perixera illepidaria (Guenée, 1857)",未詳,
オキナワウスチャヒメシャク,"Perixera obliviaria (Walker, 1861)",7月,
マダラウスチャヒメシャク,"Perixera sarawackaria (Guenée, 1857)",4月-5月,年1化の可能性がある
クスイウスチャヒメシャク,"Perixera niveopuncta (Warren, 1897)",5月-6月,
フタツメオオシロヒメシャク,"Problepsis albidior Warren, 1899",夏季,
ツシマオオシロヒメシャク,"Problepsis eucircota Prout, 1913",未詳,灯火に集まる
ウススジオオシロヒメシャク,"Problepsis plagiata (Butler, 1881)","北海道: 8月、本州以南: 年2化",北海道では年によって2化の可能性あり
クロスジオオシロヒメシャク,"Problepsis diazoma Prout, 1938",6月-9月,本州では年2化
ヒトツメオオシロヒメシャク,"Problepsis superans (Butler, 1885)",夏季,
ウンモンオオシロヒメシャク,"Somatina indicataria (Walker, 1861)",未詳,
ミドリヒメシャク,"Antitrygodes divisaria (Walker, 1861)",未詳,きわめて普通種
クシヒゲハイイロヒメシャク,"Antilycauges pinguis (Swinhoe, 1902)",夏-秋,年2化
コヒメシャク,"Scopula virgulata (Denis & Schiffermüller, 1775)",5月, 6月, 8月, 9月,年2化しているものと思われる
ヘリグロヒメシャク,"Scopula luridata (Zeller, 1847)",3月-4月,
ウスアカヒメシャク,"Scopula caesaria (Walker, 1861)",10月,
マエキヒメシャク,"Scopula nigropunctata (Hufnagel, 1767)","北海道: 夏、本州以南: 5月, 8月","北海道では夏に1化、本州以南では年2化"
モントビヒメシャク,"Scopula modicaria (Leech, 1897)","北海道: 年1化、本州: 6月頃, 8月頃","北海道ではおそらく年1化、本州では年2化"
クロテンシロヒメシャク,"Scopula apicipunctata (Christoph, 1881)","北海道: 年1化、本州: 6-7月頃, 8-9月頃","北海道ではおそらく年1化、本州では年2化"
タカオシロヒメシャク,"Scopula takao Inoue, 1954","北海道: 年1化、本州: 6月頃, 8-9月頃","北海道ではおそらく年1化、本州では年2化"
スミレシロヒメシャク,"Scopula umbelaria (Hübner, 1813)",6月-7月,年1化
サカハチヒメシャク,"Scopula hanna (Butler, 1878)",5月-9月,年2化しているものと思われる
ウラナミヒメシャク,"Scopula corrivalaria (Kretschmar, 1862)",未詳,採集記録は散発的
ウスキトガリヒメシャク,"Scopula confusa (Butler, 1878)",未詳,各地に普通に産し
ナミスジチビヒメシャク,"Scopula personata (Prout, 1913)",未詳,本州では、おそらく年2化
チビシロヒメシャク,"Scopula kawabei Inoue, 1982",5月, 9月,
ミナミウスキヒメシャク,"Scopula remotata (Guenée, 1857)",11月,
ミスジハイイロヒメシャク,"Scopula cineraria (Leech, 1897)",未詳,まれな種だが、河川敷や海岸での採集例が多い
ハイイロヒメシャク,"Scopula impersonata (Walker, 1861)",5月-6月, 8月-9月,
キトガリヒメシャク,"Scopula emissaria (Walker, 1861)",未詳,まれな種
ハスジトガリヒメシャク,"Scopula ichinosawana (Matsumura, 1925)",6月-8月,
フチグロシロヒメシャク,"Scopula ornata (Scopoli, 1765)",未詳,非常にまれな種である
ウラモンクロスジヒメシャク,"Scopula limbata (Wileman, 1915)",未詳,灯火採集で得られるが、あまり多くない
オオクロテンヒメシャク,"Scopula praesignipuncta Prout, 1920",未詳,これまで得られた標本が少なく、まれ
サツマヒメシャク,"Scopula insolata (Butler, 1889)",未詳,灯火に普通に飛来するが、本州では少ない
キスジシロヒメシャク,"Scopula asthena Inoue, 1943",未詳,かなりまれな種
シベチャシロヒメシャク,"Scopula supernivearia Inoue, 1963",6月-8月,おそらく年1化
キナミシロヒメシャク,"Scopula superior (Butler, 1878)",未詳,灯火採集で普通に得られる
クロスジシロヒメシャク,"Scopula pudicaria (Motschulsky, 1861)",未詳,灯火採集で得られるが、あまり多くない
マルバヒメシャク,"Scopula duplinupta Inoue, 1982",未詳,本州の記録は最近まったくなく、再発見が待たれる
ヤスジマルバヒメシャク,"Scopula floslactata (Haworth, 1809)",未詳,本州の低地では年2化している
アメイロヒメシャク,"Scopula tenuisocius Inoue, 1942",未詳,灯火採集で普通に得られる
ウラテンシロヒメシャク,"Scopula subpunctaria (Herrich-Schäffer, 1847)",未詳,草原での昼間の叩き網でも効率的に得られる
ウラクロスジシロヒメシャク,"Scopula prouti Djakonov, 1935",7月頃,年1化の発生と思われる
サザナミシロヒメシャク,"Scopula nupta (Butler, 1878)","北日本: 年1化、関東地方以南の低地: 年2化",
ヨツボシウスキヒメシャク,"Scopula superciliata (Prout, 1913)",未詳,年2化はしており、夏生は春生に比して小型
オキナワクロテンヒメシャク,"Scopula nesciaria (Walker, 1861)",未詳,灯火採集で得られる
ミナミヒメシャク,"Scopula emma (Prout, 1913)",未詳,かなりまれな種
ウスウラナミヒメシャク,"Scopula longicerata Inoue, 1955",未詳,採集記録は散発的でまれな種
ウスサカハチヒメシャク,"Scopula semignobilis Inoue, 1942",未詳,灯火採集で得られるが、あまり採れない
ミチノクヒメシャク,"Scopula michinoku Sato, 1994",未詳,灯火採集で得られるが、産地は限られる
クリームヒメシャク,"Scopula gilva Sato, 1993",未詳,幼生期も未詳、前種とともに解明が待たれる
ウスキクロテンヒメシャク,"Scopula ignobilis (Warren, 1901)",10月,場所によっては年3化しているものと思われる
ナガサキヒメシャク,"Scopula plumbearia (Leech, 1881)",未詳,東北地方からは最近になって記録されており
ギンバネヒメシャク,"Scopula epiorrhoe Prout, 1935",未詳,灯火採集で普通に得られるが、♂はあまり採れない
シモフリシロヒメシャク,"Scopula coniaria (Prout, 1913)",未詳,灯火によく集まる
タイワントガリヒメシャク,"Scopula pulchellata (Fabricius, 1794)",未詳,
オキナワトガリヒメシャク,"Scopula anisopleura Inoue, 1982",未詳,
イリオモテトガリヒメシャク,"Scopula eulomata (Snellen, 1877)",12月,
ミナミハイイロヒメシャク,"Scopula hypochra (Meyrick, 1888)",未詳,現時点では、小笠原諸島での灯火採集で多数飛来する
ベニヒメシャク,"Idaea muricata (Hufnagel, 1767)",未詳,関東地方の平地では年2化
# ... 省略: 続きの行（送付いただいた全行）
