all_name,Hub name,lato/stricto,Family ID,Family name,Family name (JP),GL,SF,WF,YL,status,message
アスヒカズラ,アスヒカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00013,SF_00006,#N/A,YL_00035,確定,
イヌヤチスギラン,イヌヤチスギラン,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00005,SF_00011,#N/A,YL_00024,確定,
イワヒモ,ヒモラン,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00023,SF_00032,#N/A,YL_00018,確定,
ウチワマンネンスギ,マンネンスギ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00015,SF_00004,#N/A,YL_00036,確定,
エゾコスギラン,エゾコスギラン,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,SF_00022,#N/A,#N/A,確定,
エゾノコスギラン,コスギラン,広義,1,Lycopodiaceae,ヒカゲノカズラ,GL_00002,SF_00019,#N/A,YL_00011,確定,
エゾヒカゲノカズラ,ヒカゲノカズラ,広義,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,#N/A,#N/A,YL_00032,確定,エゾヒカゲノカズラ/ヒカゲノカズラ広義
エゾヒカゲノカズラ,エゾヒカゲノカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00011,SF_00002,#N/A,YL_00033,確定,エゾヒカゲノカズラ/ヒカゲノカズラ広義
オオスギカズラ,オオスギカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,#N/A,#N/A,YL_00022,確定,
オニトウゲシバ,オニトウゲシバ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,SF_00017,#N/A,YL_00014,確定,オニトウゲシバ/トウゲシバ
オニトウゲシバ,トウゲシバ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00003,SF_00014,#N/A,YL_00013,確定,オニトウゲシバ/トウゲシバ
コウヨウザンカズラ,コウヨウザンカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00018,SF_00026,#N/A,YL_00003,確定,
コスギトウゲシバ,コスギトウゲシバ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00004,SF_00013,#N/A,YL_00020,確定,
コスギラン,コスギラン,広義,1,Lycopodiaceae,ヒカゲノカズラ,GL_00002,SF_00019,#N/A,YL_00011,確定,コスギラン広義/狭義
コスギラン,コスギラン,狭義,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,SF_00021,#N/A,YL_00012,確定,コスギラン広義/狭義
サカバスギラン,サカバスギラン,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,SF_00024,#N/A,YL_00023,確定,
シンノスギカズラ,スギカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00009,SF_00003,#N/A,YL_00028,確定,
スギカズラ,スギカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00009,SF_00003,#N/A,YL_00028,確定,
スギゴケトウゲシバ,スギゴケトウゲシバ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,#N/A,#N/A,YL_00009,確定,
スギラン,スギラン,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00017,SF_00027,#N/A,YL_00002,確定,
タカネスギカズラ,スギカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00009,SF_00003,#N/A,YL_00028,確定,スギカズラ/タカネスギカズラ
タカネスギカズラ,タカネスギカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,#N/A,#N/A,YL_00029,確定,スギカズラ/タカネスギカズラ
タカネヒカゲノカズラ,タカネヒカゲノカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00014,SF_00008,#N/A,YL_00038,確定,
タチマンネンスギ,タチマンネンスギ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,SF_00005,#N/A,#N/A,確定,タチマンネンスギ/マンネンスギ
タチマンネンスギ,マンネンスギ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00015,SF_00004,#N/A,YL_00036,確定,タチマンネンスギ/マンネンスギ
チシマスギラン,コスギラン,広義,1,Lycopodiaceae,ヒカゲノカズラ,GL_00002,SF_00019,#N/A,YL_00011,確定,コスギラン/チシマスギラン
チシマスギラン,チシマスギラン,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,SF_00020,#N/A,#N/A,確定,コスギラン/チシマスギラン
チシマヒカゲノカズラ,チシマヒカゲノカズラ/ミヤマヒカゲノカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00008,SF_00007,#N/A,YL_00027,確定,
チャボトウゲシバ,チャボトウゲシバ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,SF_00018,#N/A,YL_00015,確定,
トウゲシバ,トウゲシバ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00003,SF_00014,#N/A,YL_00013,確定,
ナガバスギラン,ナガバスギラン,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,#N/A,#N/A,YL_00006,確定,
ナンカクラン,ナンカクラン,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00020,SF_00028,#N/A,YL_00005,確定,
ナンゴクアスヒカズラ,ナンゴクアスヒカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,#N/A,#N/A,YL_00037,確定,
ナンゴクヒカゲノカズラ,ヒカゲノカズラ,狭義,1,Lycopodiaceae,ヒカゲノカズラ,GL_00012,SF_00001,#N/A,YL_00034,確定,
ナンヨウスギカズラ,ムカデカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,#N/A,#N/A,YL_00021,確定,
ニイタカアスヒカズラ,ニイタカアスヒカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,#N/A,#N/A,YL_00040,確定,
ニイタカヒカゲノカズラ,ニイタカヒカゲノカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,#N/A,#N/A,YL_00039,確定,
ヒカゲノカズラ,ヒカゲノカズラ,広義,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,#N/A,#N/A,YL_00032,確定,ヒカゲノカズラ広義/狭義
ヒカゲノカズラ,ヒカゲノカズラ,狭義,1,Lycopodiaceae,ヒカゲノカズラ,GL_00012,SF_00001,#N/A,YL_00034,確定,ヒカゲノカズラ広義/狭義
ヒメスギラン,ヒメスギラン,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00001,SF_00023,#N/A,YL_00007,確定,
ヒメヨウラクヒバ,ヒメヨウラクヒバ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00022,SF_00030,#N/A,YL_00010,確定,
ヒモスギラン,ヒモスギラン,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00019,SF_00031,#N/A,YL_00004,確定,
ヒモヅル,ヒモヅル,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00010,SF_00009,#N/A,YL_00031,確定,
ヒモラン,ヒモラン,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00023,SF_00032,#N/A,YL_00018,確定,
ヒロハスギカズラ,スギカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00009,SF_00003,#N/A,YL_00028,確定,
ヒロハトウゲシバ,トウゲシバ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00003,SF_00014,#N/A,YL_00013,確定,トウゲシバ/ヒロハトウゲシバ
ヒロハトウゲシバ,ヒロハトウゲシバ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,SF_00016,#N/A,#N/A,確定,トウゲシバ/ヒロハトウゲシバ
