"和名,学名,食草名,成虫出現時期"
"ワモンナガハムシ、Zeugophora annulata (Baly)、""マユミ、ニシキギ、クロヅルなど""、4~9月"
"ナガハムシ(クロナガハムシ)、Orsodacne arakii Chujo、""ハシドイ、オオカメノキの花など""、""4~5月(山地では6~8月)"""
"カタビロハムシ,Colobaspis japonica (Baly),""ネズミモチ、コバノトネリコ"",4~6月"
"サムライマメゾウムシ、Bruchidius japonicus (Harold)、""ヤマハギの実、ニセアカシアなどの花""、不明"
"サイカチマメゾウムシ,Megabruchidius dorsalis (Fahraeus),サイカチの実,不明"
"エンジュマメゾウムシ、Megabruchidius sophorae Tuda et Morimoto、""エンジュ、マユミなどの花""、不明"
"イクビマメゾウムシ、Spermophagus rufiventris Boheman、""コクララの実、フジマメ、ヒルガオ、カエデ、ウツギ、ミズキなどの花""、不明"
"イネネクイハムシ、Donacia provostii Fairmaire、""ジュンサイ、コウホネ、ヒルムシロ、ヒツジグサ、ヒシ、イネの根""、5~11月"
"スゲハムシ(キヌツヤミズクサハムシ),Plateumaris sericea (Linnaeus),""スゲ類、ハリイ類、各種の花"",4~9月"
"キンイロネクイハムシ,Donacia japana Chujo et Goecke,""ミクリ類、スゲ類の花"",4~10月"
"ジュウシホシクビナガハムシ、Crioceris quatuordecimpunctata (Scopoli)、""アスパラガス、キジカクシ、クサスギカズラなど""、4~10月"
"ルイスクビナガハムシ、Lilioceris lewisi (Jacoby)、""マイヅルソウ、ナルコユリ、ギボウシ類など""、4~10月"
"アカクビナガハムシ,Lilioceris subpolita (Motschulsky),""サルトリイバラ、シオデ"",4~9月"
"キイロクビナガハムシ、Lilioceris rugata (Baly)、""ヤマノイモ、オニドコロ""、4~7月"
"ルリクビボソハムシ,Lema cirsicola Chujo,アザミ,4~10月"
"トゲアシクビボソハムシ,Lema coronata Baly,ツユクサ,4~11月"
"キバラルリクビボソハムシ,Lema concinnipennis Baly,ヨツユクサ,5~9月"
"トホシクビボソハムシ,Lema decempunctata Gebler,クコ,3~11月"
"アカクビボソハムシ(カワリクビボソハムシ),Lema diversa Baly,ツユクサ,4~11月"
"キベリクビボソハムシ,Lema adamsii Baly,ヤマノイモ,4~9月"
"ヤマイモハムシ,Lema honorata Baly,ヤマノイモ,4~10月"
"オオクビボソハムシ,Lema pectoralis unicolor Clark,コウトウシラン,""4月、10月(周年発生の可能性あり)"""
"イネクビボソハムシ、Oulema oryzae (Kuwayama)、""イネ、カモガヤ、マコモなど""、4~9月"
"アワクビボソハムシ,Oulema dilutipes (Fairmaire),""アワ、エノコログサ"",4~11月"
